smile-id,smile
smile-0,CN1C(C(=O)Nc2ccc(O)cn2)=C(O)c2sc(Cl)cc2S1(=O)=O
smile-1,CN1C(=O)CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc21
smile-2,CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1
smile-3,O=S(=O)(O)O[C@H]1[C@H](O)CO[C@@H](O[C@@H]2CO[C@@H](O)[C@H](OS(=O)(=O)O)[C@H]2OS(=O)(=O)O)[C@@H]1OS(=O)(=O)O
smile-4,CCCCCCOC(=O)NC(=N)C1=CC=C(NCC2=NC3=CC(=CC=C3N2C)C(=O)N(CCC(=O)OCC)C2=NC=CC=C2)C=C1
smile-5,C[C@@H](O)[C@@H](C)Oc1nc(Nc2ccc([S@](=N)(=O)C3CC3)cc2)ncc1C(F)(F)F
smile-6,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cc(F)c(C)c3c1c2[C@@H](N)CC3
smile-7,OCCOCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1
smile-8,NC1=NC2=NC(N)=C(N=C2C(N)=N1)C1=CC=CC=C1
smile-9,O=C1C=C(N2CC2)C(=O)C(N2CC2)=C1N1CC1
smile-10,CN(Cc1ccccc1)C(=O)[C@H](Cc1ccc2ccccc2c1)NC(=O)[C@@H]1CCCN1C(=O)Nc1ccccc1[N+](=O)[O-]
smile-11,C[C@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CCl
smile-12,NC(=N)NN=C1C=CC(C=C1)=NNC(N)=S
smile-13,Oc1ccc(O)cc1
smile-14,CC(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1
smile-15,Cc1ncccc1OC[C@@H]1CCCN1
smile-16,O=C(O)C(Cl)Cl
smile-17,CCC[C@@H]1C[C@@H](C(=O)N[C@H]([C@@H](C)Cl)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)N(C)C1
smile-18,CCC[C@@H](CCC(=O)O)C(=O)O
smile-19,CCOC(=O)C(C)(C)NP(=O)(NC(C)(C)C(=O)OCC)c1ccc(-c2nc(N)sc2C(=O)C(C)(C)C)o1
smile-20,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C
smile-21,CC1=NC=C(CSSCC2=CN=C(C)C(O)=C2CO)C(CO)=C1O
smile-22,CN1CC[C@@]23c4c5ccc(O)c4O[C@@H]2[C@H](O)CC[C@H]3[C@H]1C5
smile-23,CC[C@](C)(Oc1ccc(C2(c3cccc(O[C@](C)(CC)C(=O)O)c3)CCCCC2)cc1)C(=O)O
smile-24,CCCCCCCCC(CCCCCC)C(O)=O
smile-25,Cc1c(O)cc2c(c1C)O[C@@](C)(CCC[C@@H](C)CCC[C@@H](C)CCCC(C)C)CC2
smile-26,CC(=O)NCCCCCCNC(C)=O
smile-27,CN1CC[C@@]23c4c5ccc(O[C@@H]6O[C@H](C(=O)O)[C@@H](O)[C@@H](O)[C@@H]6O)c4O[C@@H]2[C@@H](O)CC[C@H]3[C@H]1C5
smile-28,C[C@H](C1=Cc2ccccc2S1=O)N(O)C(N)=O
smile-29,C[C@H](CC1=CC2=C(N(CCCO)CC2)C(=C1)C(N)=O)NCCOC1=CC=CC=C1OCC(F)(F)F
smile-30,N#C[C@@H](c1ccc(Cl)cc1)c1c(Cl)cc(-n2ncc(=O)[nH]c2=O)cc1Cl
smile-31,CS(=O)(=O)OCCN(CCCl)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1
smile-32,NC[C@@H]1O[C@H](O[C@@H]2[C@@H](O[C@@H]3O[C@@H](CO)[C@H](O)[C@H]3O)[C@H](O)[C@@H](N)C[C@H]2N)[C@@H](N)[C@H](O)[C@H]1O
smile-33,CCCCCCCCCCCC(=O)OCCOC[C@@H](OCCO)[C@@H]1OC[C@@H](OCCO)[C@@H]1OCCO
smile-34,CN(C(=O)CCCC(O)=O)C1=C(I)C(N)=C(I)C=C1I
smile-35,CC1=CC(=O)[C@H]2C[C@@H]1C2(C)C
smile-36,CC(=O)SC[C@@H](Cc1ccccc1)C(=O)NCC(=O)OCc1ccccc1
smile-37,CN(C)C(=O)CCCOC(=O)C(C)(C)OC1=CC=C(Cl)C=C1
smile-38,CN(C)CCCNC1=NC=C(C)C2=C1C1=C3C=CC(O)=CC3=CC=C1N2
smile-39,CCCCCCCCCCCCCCCC[N+](C)(C)CCN(CC1=CC=C(OC)C=C1)C1=NC=CC=N1
smile-40,COC1=CC2=C(SC3=CC=CC=C3N2CC(C)CN2CCC(O)CC2)C=C1
smile-41,CC(=O)O[C@@]1(CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)=O
smile-42,Cc1ccc2ccccc2n1
smile-43,C=CC[C@@H]1/C=C(/C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@H](O)[C@H](O)C3)[C@H](C)[C@H](O)CC1=O)[C@@H](C)C[C@@H]2OC
smile-44,COc1ccc(CN(CCN(C)C)c2ncccn2)cc1
smile-45,CCN1CCC(c2cccc(S(C)(=O)=O)c2F)CC1
smile-46,CSCC[C@H](N)C(O)=O
smile-47,COC1=CC(=O)O[C@@H](/C=C/C2=CCCC=C2)C1
smile-48,N\N=C1/NN=C(C=C1)C(N)=O
smile-49,OC1=CC=C(C=C1)C1(OC(=O)C2=C1C=CC=C2)C1=CC=C(O)C=C1
smile-50,CCCCC1C\C=C\C=C\C=C\C=C\C(CC2OC(O)(CC(O)C2C(O)=O)CC(O)CC2OC2\C=C\C(=O)O1)O[C@@H]1O[C@H](C)[C@@H](O)[C@H](N)[C@@H]1O
smile-51,CCc1cc(CC[C@]2(C3CCCC3)CC(O)=C(Cc3nc4nc(C)cc(C)n4n3)C(=O)O2)cc(CC)n1
smile-52,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O
smile-53,CC(C)OC1=C(NC2=NC=C(Cl)C(NC3=C(C=CC=C3)S(=O)(=O)C(C)C)=N2)C=C(C)C(=C1)C1CCNCC1
smile-54,Nc1ccn([C@]2(O)O[C@H](CO)[C@@H](O)[C@@H]2O)c(=S)n1
