,ZINC000029136020,ZINC000095561192,ZINC000011677911,ZINC000012503187,ZINC000100013130,ZINC000003930598,ZINC000003937143
drugCentral_4,512.678095580341,688.5814306989597,644.3400074405354,371.71597551839454,497.28029479510013,520.134141139806,519.3681054670037
drugCentral_5,175.51229973487398,351.33317705703195,307.393062901391,34.864476919880694,160.0201705923819,183.01049994457432,182.14944334793142
drugCentral_6,381.70143415110437,557.7289261634592,513.7943591972003,240.71303094809375,366.3550595742358,389.1213239316381,388.57514107097853
drugCentral_13,487.4489572143521,663.4310467027892,619.3231568925796,346.4680797794945,472.084592204626,494.8844515205072,494.2371739406167
drugCentral_21,240.31350458509897,416.36726379215014,372.6847098512271,99.34551905729232,224.98423381420758,247.72022326641837,247.30155569137622
drugCentral_22,746.4981926602076,922.5831520841847,878.5842566503577,605.5425576036239,731.2022227487532,753.8930167491686,753.4276871434439
drugCentral_24,724.8347204061431,900.9018208476973,856.8644420752427,583.8716061169334,709.5262763705562,732.2374021336153,731.7338916174009
drugCentral_25,583.0993397877061,759.1696890988534,715.2163117313984,442.1327942777193,567.7886123541804,590.4975159601482,590.0232487662084
drugCentral_26,780.9790115309728,957.0924415961347,913.1707974650633,640.0420741443447,765.7058943498921,788.3588462988448,787.9646718213662
drugCentral_27,360.68232932499825,536.7234888483109,492.87974039246006,219.70026102601042,345.34418924806914,368.08912111422404,367.6048440669763
drugCentral_30,631.2711596779311,807.3846934208818,763.5007857518369,490.33368874163284,615.9978558344645,638.6529925460657,638.2648472342644
drugCentral_33,363.3750994191193,539.1099035783615,494.7764488337479,222.5145172793097,347.90084939903085,370.8730266863794,369.8943669844037
drugCentral_34,511.76122007647706,687.8065647118716,643.8050570591962,370.78619177492277,496.4338508042331,519.1746277384,518.639520624402
drugCentral_35,1449.4105771489733,1273.2212549312699,1317.1837607458503,1590.260987593218,1464.5999546052276,1442.0839342922197,1442.309721128697
