,ZINC000029136020,ZINC000095561192,ZINC000011677911,ZINC000012503187,ZINC000100013130,ZINC000003930598,ZINC000003937143
drugCentral_4,4.652503405601731,5.38687795446676,7.739887505790255,3.112216663235307,3.194924826738064,3.3833276449633645,4.775584456504532
drugCentral_5,1.1222590830441403,2.3921193432446812,5.419665017548226,2.809189937362423,2.2719774706243445,1.6003301381328312,1.2884107601674675
drugCentral_6,2.234342572331103,3.541608027316426,6.255916344326489,3.3530398490920903,2.972112581682863,2.3432846550225306,2.434187841306172
drugCentral_13,3.597207317033873,3.5866943484773834,4.865722036223249,3.893996095694627,3.758591076835711,4.120797979249783,3.771644640723899
drugCentral_21,1.297124951589933,2.631307213924994,5.636570292137037,3.1097918301198173,2.5960425033902372,1.9352913119927335,1.5058815921768172
drugCentral_22,4.136227778989764,5.367603982166885,7.5116087802183005,4.792858236534573,4.656994964952732,4.210261596575365,4.33221660725099
drugCentral_24,3.881508578550298,5.066532375095499,7.333146683377957,4.530441383305081,4.38282216419237,3.9921250431452258,4.074577233857105
drugCentral_25,4.313008065785449,5.654910465565623,8.42839244348395,4.344554890810141,4.147380707390816,3.5415077500710908,4.470155126183318
drugCentral_26,5.646461105932415,6.7115217553297875,8.953638895792045,4.538873632009547,4.724324261825352,4.596547086589919,5.7677402578233075
drugCentral_27,2.0450914470200363,3.3285886588742666,5.970127198453732,3.155236687697309,2.838366921810599,2.2494199072176775,2.206263338979599
drugCentral_30,3.3533953552247695,4.730562520798333,7.360179054512417,4.414746789963429,4.208828132548954,3.6117767399626746,3.5066058301511958
drugCentral_33,2.2766344455185834,3.5344404558452234,6.53577042100903,3.2432971442899037,2.777105951995291,2.1549588382998883,2.47244232596413
drugCentral_34,4.255944627888649,5.153378257836329,7.8466353938774756,3.8522857115928204,3.5786952682174165,3.422897392660503,4.447072787722411
drugCentral_35,7.876701078761385,6.605169987105575,6.977188095417955,8.785197919450038,8.157022643153203,8.256585191035828,7.8011095251001175
drugCentral_37,4.373328674404562,5.418463145486059,7.994125080139313,4.089212446832388,3.8390349406495377,3.543434464173839,4.579592016929599
drugCentral_38,5.197250922783725,6.145315128381713,8.353379271023039,4.344097655115548,4.332672173673144,4.25840003158662,5.38044957783593
drugCentral_39,3.9432235292806435,2.6717798860854955,2.949246751978423,2.6388878271816787,2.6786131834202127,3.760471334406316,3.9093904811032147
