drug,prot,score
ZINC000001530621,O15826,0.28
ZINC000001530621,O97193,0.35
ZINC000169289411,O15826,0.4
ZINC000252548734,O15826,0.4
ZINC000252548735,O15826,0.4
ZINC000095618608,O15826,0.43
ZINC000095618832,O15826,0.44
ZINC000085599303,O15826,0.44
ZINC000261494663,O15826,0.44
ZINC000261494662,O15826,0.44
ZINC000003830999,O15826,0.45
ZINC000252548734,O97193,0.53
ZINC000169289411,O97193,0.53
ZINC000252548735,O97193,0.53
ZINC000003830999,O97193,0.54
ZINC000169356261,O15826,0.55
ZINC000085536990,O15826,0.55
ZINC000095617678,O15826,0.55
ZINC000253496134,O15826,0.55
ZINC000169289411,Q4QHJ8,0.55
ZINC000252548734,Q4QHJ8,0.55
ZINC000252548735,Q4QHJ8,0.55
ZINC000095618608,O97193,0.57
ZINC000169621231,O15826,0.58
ZINC000169677008,O15826,0.58
ZINC000254113657,O15826,0.58
ZINC000169621230,O15826,0.58
ZINC000261494640,O15826,0.59
ZINC000257372319,O15826,0.59
ZINC000169289388,O15826,0.59
ZINC000253684767,O15826,0.59
ZINC000096006018,O15826,0.59
ZINC000095618832,O97193,0.59
ZINC000085599303,O97193,0.59
ZINC000261494663,O97193,0.59
ZINC000261494662,O97193,0.59
ZINC000095618608,Q4QHJ8,0.6
ZINC000261494662,Q4QHJ8,0.61
ZINC000003953037,O15826,0.61
ZINC000261494663,Q4QHJ8,0.61
ZINC000085599303,Q4QHJ8,0.61
ZINC000095618832,Q4QHJ8,0.61
ZINC000003830994,O15826,0.67
ZINC000003830993,O15826,0.67
ZINC000040430143,O15826,0.69
ZINC000100014880,O15826,0.69
ZINC000000000504,O15826,0.73
ZINC000000000855,O15826,0.73
ZINC000169356261,O97193,0.75
ZINC000095617678,O97193,0.75
ZINC000253496134,O97193,0.75
ZINC000085536990,O97193,0.75
ZINC000003953037,O97193,0.76
ZINC000254113657,O97193,0.76
ZINC000169621231,O97193,0.76
ZINC000169621230,O97193,0.76
ZINC000169677008,O97193,0.76
ZINC000169677008,Q4QHJ8,0.77
ZINC000254113657,Q4QHJ8,0.77
ZINC000169621231,Q4QHJ8,0.77
ZINC000169621230,Q4QHJ8,0.77
ZINC000169356261,Q4QHJ8,0.77
ZINC000085536990,Q4QHJ8,0.77
ZINC000253496134,Q4QHJ8,0.77
ZINC000095617678,Q4QHJ8,0.77
ZINC000253684767,Q4QHJ8,0.79
ZINC000096006018,Q4QHJ8,0.79
ZINC000001530621,Q4QHJ8,0.79
ZINC000253684767,O97193,0.79
ZINC000257372319,O97193,0.79
ZINC000169289388,O97193,0.79
ZINC000257372319,Q4QHJ8,0.79
ZINC000096006018,O97193,0.79
ZINC000261494640,O97193,0.79
ZINC000261494640,Q4QHJ8,0.79
ZINC000169289388,Q4QHJ8,0.79
ZINC000003830993,O97193,0.81
ZINC000003830994,O97193,0.81
ZINC000003830579,O15826,0.84
ZINC000000601316,O15826,0.84
ZINC000000001898,O15826,0.85
ZINC000169289411,Q4QBL1,0.9
ZINC000252548735,Q4QBL1,0.9
ZINC000252548734,Q4QBL1,0.9
ZINC000000000504,O97193,0.91
ZINC000000000855,O97193,0.91
ZINC000005736075,O15826,0.91
ZINC000000002232,O15826,0.92
ZINC000040430143,O97193,0.93
ZINC000252548735,Q27686,0.94
ZINC000252548734,Q27686,0.94
ZINC000169289411,Q27686,0.94
ZINC000100014880,O97193,0.94
ZINC000001482169,O15826,0.96
ZINC000095618608,Q4QBL1,0.98
ZINC000000001898,O97193,0.98
ZINC000261494663,Q4QBL1,1.0
ZINC000085599303,Q4QBL1,1.0
ZINC000095618832,Q4QBL1,1.0
ZINC000261494662,Q4QBL1,1.0
ZINC000003936683,O15826,1.02
ZINC000095618608,Q27686,1.02
ZINC000000002232,O97193,1.03
ZINC000261494663,Q27686,1.04
ZINC000095618832,Q27686,1.04
ZINC000085599303,Q27686,1.04
ZINC000261494662,Q27686,1.04
ZINC000000897229,O15826,1.06
ZINC000000897232,O15826,1.06
ZINC000000403609,O15826,1.08
ZINC000000002176,O15826,1.08
ZINC000003830579,O97193,1.12
ZINC000000601316,O97193,1.12
ZINC000003808779,O15826,1.12
ZINC000001530621,Q4QBL1,1.16
ZINC000072316335,O15826,1.18
ZINC000001482169,O97193,1.21
ZINC000001530621,Q27686,1.21
ZINC000169621230,Q4QBL1,1.23
ZINC000169621231,Q4QBL1,1.23
ZINC000254113657,Q4QBL1,1.23
ZINC000169677008,Q4QBL1,1.23
ZINC000005736075,O97193,1.24
ZINC000100017456,O15826,1.25
ZINC000169621230,Q27686,1.26
ZINC000169621231,Q27686,1.26
ZINC000169677008,Q27686,1.26
ZINC000254113657,Q27686,1.26
ZINC000085536990,Q4QBL1,1.27
ZINC000253496134,Q4QBL1,1.27
ZINC000169356261,Q4QBL1,1.27
ZINC000095617678,Q4QBL1,1.27
ZINC000257372319,Q4QBL1,1.28
ZINC000169289388,Q4QBL1,1.28
ZINC000000002176,O97193,1.28
