smiles,index
CCCCN1CCCC[C@H]1C(=O)NC1=C(C)C=CC=C1C,id-4
COC(=O)C1=C(C)NC(C)=C([C@H]1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OCCN(C)CC1=CC=CC=C1,id-5
CCOC(=O)C1=C(C)NC(C)=C([C@@H]1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC,id-6
C[C@@H](CCC1=CC=C(O)C=C1)NCCC1=CC=C(O)C(O)=C1,id-13
NC1=NC2=NC=C(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N=C2C(N)=N1,id-21
NCC1=CC=C(C=C1)C(O)=O,id-22
OC(=O)CCCC1=CC=CC=C1,id-24
NC1=NC(=O)N(C=N1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,id-25
FC1=CNC(=O)NC1=O,id-26
CC(=O)OC[C@H]1O[C@H]([C@H](OC(C)=O)[C@@H]1OC(C)=O)N1N=CC(=O)NC1=O,id-27
COC1=C2OC=CC2=CC2=C1OC(=O)C=C2,id-30
CC(=O)OCC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,id-33
NC1=NC(NC2CC2)=C2N=CN([C@@H]3C[C@H](CO)C=C3)C2=N1,id-34
CC(C)C[C@H](NC(=O)[C@@H](CC(N)=O)NC(=O)[C@H](CC1=CC=C(O)C=C1)N(C)C(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC=C2C=CC=CC2=C1)NC(C)=O)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,id-35
NC(=O)C1=C(N)N(C=N1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,id-37
CC(=O)NCCCS(O)(=O)=O,id-38
C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)OC(O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,id-39
CCCC(=O)NC1=CC(C(C)=O)=C(OCC(O)CNC(C)C)C=C1,id-40
CCC(Br)(CC)C(=O)NC(=O)NC(C)=O,id-42
OC(=O)COC(=O)CC1=C(NC2=C(Cl)C=CC=C2Cl)C=CC=C1,id-43
NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(NCC(O)=O)C=C1,id-44
CC(=O)O[C@H]1[C@H]2OC(=O)[C@H](OC(C)=O)[C@H]2OC1=O,id-45
CC(=O)N[C@@H](CCC(N)=O)C(O)=O,id-46
COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(=O)OCC(O)=O,id-47
CC(=O)CC(C1=CC=C(C=C1)[N+]([O-])=O)C1=C(O)C2=C(OC1=O)C=CC=C2,id-48
CN1C2=C(N(CC(O)=O)C=N2)C(=O)N(C)C1=O,id-49
CC(CN1C2=CC=CC=C2SC2=C1C=C(C=C2)C(C)=O)N(C)C,id-50
CCN(CC)C(=O)COC1=C(OC)C=C(CC=C)C=C1,id-51
CC(=O)NC1=CC=C(O)C=C1,id-52
CC(=O)NC1=CC=C(OC(=O)C2=C(O)C=CC=C2)C=C1,id-53
CC(=O)NC1=CC=CC=C1,id-54
CC(=O)NC1=CC(=CC=C1O)[As](O)(O)=O,id-55
CC(=O)NC1=NN=C(S1)S(N)(=O)=O,id-56
CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1,id-57
CC(=O)NO,id-58
CC(=O)C1=CC=C2SC3=CC=CC=C3N(CCCN3CCN(CCO)CC3)C2=C1,id-59
CC(=O)SCC(CC1=CC=CC=C1)C(=O)NCC(=O)OCC1=CC=CC=C1,id-60
CC(=O)NS(=O)(=O)C1=C(C=CC(N)=C1)S(=O)(=O)C1=CC=C(N)C=C1,id-61
