id,pid,Kd,DeepPurpose_score
id-19969,O15826,1.4018553495407104,nan
id-8235,O97193,1.6800739765167236,nan
id-11943,P48499,1.8094933032989504,nan
id-10533,O97193,1.8175634145736692,nan
id-16686,Q4QHJ8,1.878264546394348,nan
id-1760,O15826,1.8954081535339355,804.1
id-15672,O97193,1.9424352645874023,nan
id-3622,O15826,1.9519550800323489,28.43
id-12750,O15826,1.9536173343658447,nan
id-6571,Q6TUJ5,10.026030540466307,nan
id-11590,Q6TUJ5,10.079730987548828,nan
id-3556,Q4QHJ8,10.080272674560547,69725.24
id-4599,Q4QHJ8,10.11301040649414,nan
id-25728,Q4QBL1,10.140485763549805,nan
id-14744,Q6TUJ5,10.16382122039795,nan
id-703,O15826,10.164813995361328,220.08
id-14230,Q4QBL1,10.168803215026855,nan
id-27339,Q27686,10.211658477783203,nan
id-4243,O97193,10.243200302124023,nan
id-9466,Q27686,10.292953491210938,nan
id-20341,Q4QBL1,10.303998947143556,nan
id-18854,Q27686,10.311198234558104,nan
id-11036,Q4QBL1,10.394755363464355,nan
id-4952,O97193,10.40807056427002,nan
id-259,Q4QBL1,10.49354362487793,65462.68
id-21720,P48499,10.526360511779783,nan
id-12712,O15826,10.571416854858398,nan
id-16657,Q4QHJ8,10.591259002685547,nan
id-13754,Q27686,10.605125427246094,nan
id-24576,O97193,10.616591453552246,nan
id-12144,O97193,10.64027214050293,nan
id-21143,Q6TUJ5,10.657200813293457,nan
id-5706,Q27686,10.72050666809082,nan
id-8976,P48499,10.725980758666992,nan
id-9584,Q6TUJ5,10.736746788024902,nan
id-8014,Q4QBL1,10.780325889587402,nan
id-27158,P48499,10.782955169677734,nan
id-26840,O97193,10.791221618652344,nan
id-3465,P48499,10.819986343383787,9474.56
id-5429,Q27686,10.821513175964355,nan
id-8757,P48499,10.870179176330566,nan
id-10160,O15826,10.897696495056152,nan
id-8774,O15826,10.940572738647461,nan
id-18634,Q27686,10.986435890197754,nan
id-1119,O15826,10.986940383911133,637.5
id-15073,Q4QHJ8,11.004457473754883,nan
id-14838,O15826,11.008057594299316,nan
id-12624,Q4QHJ8,11.011199951171877,nan
id-12224,Q6TUJ5,11.013704299926758,nan
id-17840,Q6TUJ5,11.02928066253662,nan
id-4721,Q4QBL1,11.046767234802246,91.06
id-7411,O15826,11.056879043579102,nan
id-15199,O15826,11.061429977416992,nan
id-25335,Q4QHJ8,11.124452590942383,nan
id-23509,Q4QBL1,11.12610912322998,nan
id-19253,Q4QBL1,11.128868103027344,nan
id-18152,Q6TUJ5,11.147480010986328,nan
id-27237,Q27686,11.152522087097168,nan
id-8284,Q27686,11.168290138244627,nan
id-2302,Q4QHJ8,11.187135696411133,167907.46
id-9541,Q4QHJ8,11.190988540649414,nan
id-16177,Q4QHJ8,11.195069313049316,nan
id-23173,O97193,11.204813003540039,nan
id-25272,O15826,11.216083526611328,nan
id-23429,Q4QHJ8,11.219552040100098,nan
id-15470,Q4QHJ8,11.21958065032959,nan
id-27011,O15826,11.227728843688963,nan
id-3424,Q4QBL1,11.231006622314453,157.69
id-19551,O15826,11.260631561279295,nan
id-17642,O15826,11.260699272155762,nan
id-8417,Q4QBL1,11.301422119140625,nan
id-17154,O97193,11.303922653198242,nan
id-25548,O15826,11.30824375152588,nan
id-26544,Q4QHJ8,11.320327758789062,nan
id-9196,O97193,11.330069541931152,nan
id-11142,Q4QBL1,11.338844299316404,nan
id-5552,Q4QHJ8,11.378475189208984,nan
id-24799,P48499,11.385515213012695,nan
id-24864,O97193,11.44161605834961,nan
id-27963,Q6TUJ5,11.44388198852539,nan
id-5477,P48499,11.495943069458008,nan
id-16153,O15826,11.521982192993164,nan
id-18990,Q4QBL1,11.544677734375,nan
id-2336,Q6TUJ5,11.546385765075685,13173.81
id-5260,P48499,11.571589469909668,369.86
id-4966,P48499,11.58285140991211,nan
id-5177,O15826,11.59105110168457,nan
id-4079,Q4QBL1,11.609994888305664,9052.64
id-27278,Q4QBL1,11.610437393188475,nan
id-11854,O97193,11.627257347106935,nan
id-26391,O97193,11.639857292175293,nan
id-6983,Q4QHJ8,11.684591293334961,nan
id-17649,Q4QHJ8,11.695632934570312,nan
id-20791,Q4QHJ8,11.727429389953613,nan
id-16280,P48499,11.768671035766602,nan
id-22543,Q4QBL1,11.821736335754395,nan
id-19664,Q4QBL1,11.830458641052244,nan
id-23736,Q4QBL1,11.839584350585938,nan
id-11636,Q4QBL1,11.884092330932615,nan
id-1542,Q27686,11.915096282958984,nan
id-5030,Q27686,11.923686981201172,nan
id-10632,Q4QBL1,11.930708885192873,nan
id-11911,P48499,11.966638565063475,nan
id-19044,Q27686,12.008689880371096,nan
id-8426,O97193,12.02989673614502,nan
id-26004,O15826,12.079811096191404,nan
id-5147,Q4QHJ8,12.10126495361328,44941.1
id-19147,Q27686,12.118199348449707,nan
id-26583,O15826,12.149311065673828,nan
id-14870,Q27686,12.226088523864744,nan
id-20864,Q27686,12.228838920593262,nan
id-9782,Q4QHJ8,12.235440254211426,nan
id-10742,Q4QBL1,12.281208038330078,nan
id-17419,Q6TUJ5,12.290995597839355,nan
id-9780,Q6TUJ5,12.29339599609375,nan
id-11313,Q6TUJ5,12.299602508544922,nan
id-8936,Q27686,12.309995651245115,nan
id-15753,Q6TUJ5,12.34561252593994,nan
id-14984,Q6TUJ5,12.418212890625,nan
id-10100,Q27686,12.439990043640135,nan
id-14014,Q27686,12.445940017700195,nan
id-11420,Q4QBL1,12.511690139770508,nan
id-1623,Q4QBL1,12.516593933105467,1373.95
id-21450,Q6TUJ5,12.529504776000975,nan
id-24293,Q27686,12.611350059509276,nan
id-455,Q27686,12.611525535583494,9164.45
id-20525,O15826,12.716766357421875,nan
id-27676,O97193,12.719700813293455,nan
id-26389,P48499,12.721090316772461,nan
id-26687,O97193,12.741341590881348,nan
id-25142,O97193,12.770846366882324,nan
id-7839,Q6TUJ5,12.770950317382812,nan
id-8542,Q27686,12.78565788269043,nan
id-2111,P48499,12.81434440612793,316.55
id-24320,P48499,12.821288108825685,nan
id-23681,P48499,12.838543891906738,nan
id-13846,Q4QHJ8,12.857766151428224,nan
id-21132,P48499,12.88631534576416,nan
id-17410,P48499,12.963865280151367,nan
id-16978,Q6TUJ5,13.001209259033205,nan
id-19104,P48499,13.057571411132812,nan
id-25156,P48499,13.125836372375488,nan
id-14382,O97193,13.130182266235352,nan
id-22803,Q27686,13.137845039367676,nan
id-27796,O97193,13.192330360412598,nan
id-21005,Q4QBL1,13.20876407623291,nan
id-255,O97193,13.216924667358398,186.79
id-21279,O97193,13.292649269104006,nan
id-27173,P48499,13.307491302490234,nan
id-12769,P48499,13.308265686035154,nan
id-15083,O97193,13.328802108764648,nan
id-9655,P48499,13.384587287902832,nan
id-28048,Q6TUJ5,13.42992115020752,nan
id-89,Q27686,13.496198654174805,77389.13
id-27921,O97193,13.564685821533205,nan
id-14388,Q4QHJ8,13.579507827758787,nan
id-13034,O15826,13.611063957214355,nan
id-21611,Q4QBL1,13.670551300048828,nan
id-4958,O97193,13.76583480834961,nan
id-18201,O97193,13.766657829284668,nan
id-1795,Q6TUJ5,13.825840950012207,4437.36
id-16310,P48499,13.860092163085938,nan
id-14885,O97193,13.908147811889648,nan
id-7190,Q6TUJ5,13.922364234924315,nan
id-5497,Q6TUJ5,13.923539161682127,nan
id-15894,O15826,13.971633911132812,nan
id-9267,Q4QHJ8,13.977523803710938,nan
id-16026,Q6TUJ5,13.996631622314453,nan
id-12003,Q6TUJ5,14.018166542053224,nan
id-2819,P48499,14.064286231994627,11214.71
id-4932,O15826,14.117831230163574,nan
id-21084,Q4QHJ8,14.252479553222654,nan
id-22101,Q27686,14.414548873901367,nan
id-8333,Q4QHJ8,14.430954933166506,nan
id-8921,O15826,14.470582008361815,nan
id-21855,O97193,14.478424072265625,nan
id-7889,O97193,14.548582077026367,nan
id-27549,P48499,14.58464241027832,nan
id-23520,Q4QBL1,14.666927337646484,nan
id-16274,Q4QBL1,14.756354331970215,nan
id-21982,Q4QBL1,14.928977966308596,nan
id-9364,Q27686,14.958439826965332,nan
id-23673,Q27686,15.112906455993652,nan
id-5037,Q6TUJ5,15.270881652832033,8919.92
id-12169,P48499,15.439919471740724,nan
id-25913,Q6TUJ5,15.636045455932615,nan
id-7251,Q6TUJ5,15.641927719116213,nan
id-13134,O97193,15.976537704467773,nan
id-17056,P48499,16.107006072998047,nan
id-8397,Q27686,16.11825942993164,nan
id-22891,P48499,16.184715270996097,nan
id-11866,O97193,16.305747985839847,nan
id-2995,O97193,16.319732666015625,nan
id-7227,Q4QHJ8,16.556259155273438,nan
id-23710,O15826,16.57047462463379,nan
id-18340,Q4QHJ8,16.701730728149414,nan
id-12912,Q6TUJ5,16.73321533203125,nan
id-11289,O15826,16.77161979675293,nan
id-16350,Q4QBL1,16.877674102783207,nan
id-24684,Q4QBL1,17.090761184692386,nan
id-16822,P48499,17.15578269958496,nan
id-17534,Q27686,17.22675895690918,nan
id-19450,Q27686,17.310951232910153,nan
id-5829,O97193,17.470802307128903,nan
id-9341,Q6TUJ5,18.257234573364254,nan
id-18664,Q6TUJ5,18.413843154907227,nan
id-3297,P48499,18.52614021301269,5074.62
id-19712,P48499,18.71173858642578,nan
id-22107,O97193,19.12540626525879,nan
id-8304,O97193,19.208415985107425,nan
id-2477,P48499,2.007526636123657,2356.48
id-9625,Q6TUJ5,2.014158010482788,nan
id-16555,O97193,2.0891149044036865,nan
id-14253,O15826,2.1045451164245605,nan
id-2699,O15826,2.10725736618042,897.31
id-22241,O97193,2.135122537612915,nan
id-26489,Q6TUJ5,2.1375048160552983,nan
id-26001,O97193,2.1598706245422363,nan
id-4365,P48499,2.1613843441009517,4786.97
id-16051,Q6TUJ5,2.1900472640991206,nan
id-23639,Q6TUJ5,2.228912353515625,nan
id-17841,Q6TUJ5,2.2324604988098145,nan
id-25274,P48499,2.234138011932373,nan
id-10510,P48499,2.2425544261932373,nan
id-7315,Q6TUJ5,2.2440145015716557,nan
id-198,O97193,2.2475507259368896,106.97
id-6280,Q6TUJ5,2.256490707397461,nan
id-5837,Q6TUJ5,2.26439905166626,nan
id-23465,Q6TUJ5,2.2813220024108887,nan
id-7610,Q4QHJ8,2.3041815757751465,nan
id-13612,O15826,2.3177056312561035,nan
id-17331,P48499,2.318665742874145,nan
id-9834,P48499,2.319277763366699,nan
id-26685,Q4QHJ8,2.324456691741944,nan
id-11227,O15826,2.3353025913238525,nan
id-4830,P48499,2.3513879776000977,35198.26
id-2265,Q4QHJ8,2.3519411087036133,64370.41
id-13296,Q4QHJ8,2.361323595046997,nan
id-13196,O97193,2.3633294105529785,nan
id-26409,Q6TUJ5,2.363852500915528,nan
id-5202,Q4QHJ8,2.37178897857666,925.42
id-25287,Q4QHJ8,2.3755035400390625,nan
id-14089,P48499,2.3769571781158447,nan
id-27983,Q27686,2.3808183670043945,nan
id-11639,O97193,2.3811702728271484,nan
id-11935,P48499,2.3832290172576904,nan
id-5943,O97193,2.3846867084503174,nan
id-4691,O15826,2.3948442935943604,nan
id-3313,Q6TUJ5,2.39970064163208,12820.6
id-15937,Q6TUJ5,2.40226149559021,nan
id-4023,P48499,2.402393579483032,2545.82
id-10850,Q6TUJ5,2.4051029682159424,nan
id-9602,P48499,2.4106333255767822,nan
id-10836,P48499,2.4313418865203857,nan
id-13870,Q4QHJ8,2.440823793411255,nan
id-1469,Q6TUJ5,2.447762489318848,629.16
id-9851,O15826,2.447902202606201,nan
id-25132,Q6TUJ5,2.4590394496917725,nan
id-2316,Q6TUJ5,2.4618492126464844,120893.96
id-11725,Q6TUJ5,2.463310718536377,nan
id-16217,O97193,2.463366746902466,nan
id-27481,Q4QHJ8,2.4741895198822017,nan
id-7375,O15826,2.4837572574615483,nan
id-6960,Q6TUJ5,2.4838674068450928,nan
id-21528,Q6TUJ5,2.48705530166626,nan
id-24030,P48499,2.4916586875915527,nan
id-19363,Q6TUJ5,2.491997241973877,nan
id-24739,O97193,2.4941201210021973,nan
id-7667,Q6TUJ5,2.500095129013061,nan
id-1327,Q6TUJ5,2.5144026279449463,402.96
id-21052,O15826,2.5188651084899902,nan
id-10362,O15826,2.5206785202026367,nan
id-26966,O15826,2.52527379989624,nan
id-2691,O97193,2.530844211578369,30174.89
id-15211,O97193,2.532145977020264,nan
id-12616,Q4QHJ8,2.5394222736358643,nan
id-20028,O15826,2.5413615703582764,nan
id-18707,Q6TUJ5,2.5448217391967773,nan
id-6321,Q6TUJ5,2.5448217391967773,nan
