+------+-----------+-------------+---------------+
| Rank | Drug Name | Target Name | Binding Score |
+------+-----------+-------------+---------------+
|  1   |   id-949  |    O97193   |      0.35     |
|  2   |  id-2552  |    O97193   |      0.53     |
|  3   |  id-1585  |    O97193   |      0.54     |
|  4   |  id-2851  |    O97193   |      0.66     |
|  5   |  id-2168  |    O97193   |      0.75     |
|  6   |   id-396  |    O97193   |      0.76     |
|  7   |  id-1118  |    O97193   |      0.76     |
|  8   |  id-2446  |    O97193   |      0.79     |
|  9   |   id-846  |    O97193   |      0.81     |
|  10  |  id-2646  |    O97193   |      0.81     |
|  11  |  id-1796  |    O97193   |      0.91     |
|  12  |  id-4907  |    O97193   |      0.93     |
|  13  |  id-3880  |    O97193   |      0.94     |
|  14  |  id-2078  |    O97193   |      0.98     |
|  15  |  id-2654  |    O97193   |      1.00     |
|  16  |  id-3445  |    O97193   |      1.03     |
|  17  |  id-2053  |    O97193   |      1.06     |
|  18  |  id-4161  |    O97193   |      1.06     |
|  19  |  id-3604  |    O97193   |      1.07     |
|  20  |   id-676  |    O97193   |      1.12     |
|  21  |  id-2438  |    O97193   |      1.21     |
|  22  |  id-4061  |    O97193   |      1.28     |
|  23  |  id-2457  |    O97193   |      1.28     |
|  24  |  id-1759  |    O97193   |      1.31     |
|  25  |  id-2574  |    O97193   |      1.43     |
|  26  |  id-5218  |    O97193   |      1.49     |
|  27  |  id-1709  |    O97193   |      1.54     |
|  28  |  id-3657  |    O97193   |      1.65     |
|  29  |  id-4801  |    O97193   |      1.65     |
|  30  |  id-1027  |    O97193   |      1.66     |
|  31  |   id-290  |    O97193   |      1.66     |
|  32  |  id-1426  |    O97193   |      1.70     |
|  33  |  id-2667  |    O97193   |      1.77     |
|  34  |  id-1383  |    O97193   |      1.77     |
|  35  |   id-78   |    O97193   |      1.82     |
|  36  |  id-2977  |    O97193   |      1.83     |
|  37  |  id-2185  |    O97193   |      1.85     |
|  38  |  id-1689  |    O97193   |      1.87     |
|  39  |  id-2470  |    O97193   |      1.88     |
|  40  |   id-430  |    O97193   |      1.89     |
|  41  |  id-3611  |    O97193   |      1.91     |
|  42  |  id-3746  |    O97193   |      1.91     |
|  43  |  id-5359  |    O97193   |      1.92     |
|  44  |  id-1645  |    O97193   |      1.94     |
|  45  |  id-3609  |    O97193   |      1.97     |
|  46  |  id-5201  |    O97193   |      1.98     |
|  47  |  id-4778  |    O97193   |      1.99     |
|  48  |  id-1987  |    O97193   |      1.99     |
|  49  |   id-433  |    O97193   |      2.04     |
|  50  |  id-2333  |    O97193   |      2.06     |
|  51  |  id-2572  |    O97193   |      2.06     |
|  52  |  id-1314  |    O97193   |      2.12     |
|  53  |  id-1595  |    O97193   |      2.12     |
|  54  |  id-1057  |    O97193   |      2.14     |
|  55  |  id-4197  |    O97193   |      2.18     |
|  56  |   id-475  |    O97193   |      2.23     |
|  57  |  id-1511  |    O97193   |      2.25     |
|  58  |  id-5286  |    O97193   |      2.26     |
|  59  |  id-2949  |    O97193   |      2.27     |
|  60  |  id-2562  |    O97193   |      2.28     |
|  61  |  id-1329  |    O97193   |      2.29     |
|  62  |  id-4941  |    O97193   |      2.40     |
|  63  |  id-2129  |    O97193   |      2.42     |
|  64  |  id-1832  |    O97193   |      2.49     |
|  65  |  id-1349  |    O97193   |      2.55     |
|  66  |  id-4149  |    O97193   |      2.56     |
|  67  |  id-1302  |    O97193   |      2.57     |
|  68  |  id-4749  |    O97193   |      2.63     |
|  69  |  id-3616  |    O97193   |      2.74     |
|  70  |  id-2709  |    O97193   |      2.74     |
|  71  |  id-5301  |    O97193   |      2.77     |
|  72  |  id-3911  |    O97193   |      2.83     |
|  73  |  id-3225  |    O97193   |      2.84     |
|  74  |  id-1303  |    O97193   |      2.85     |
