+------+-----------+-------------+---------------+
| Rank | Drug Name | Target Name | Binding Score |
+------+-----------+-------------+---------------+
|  1   |  id-2552  |    P48499   |      3.44     |
|  2   |  id-1118  |    P48499   |      5.00     |
|  3   |   id-949  |    P48499   |      5.08     |
|  4   |  id-2446  |    P48499   |      5.24     |
|  5   |  id-2168  |    P48499   |      5.35     |
|  6   |  id-4161  |    P48499   |      7.76     |
|  7   |  id-3880  |    P48499   |     11.60     |
|  8   |  id-4907  |    P48499   |     12.94     |
|  9   |  id-2574  |    P48499   |     13.52     |
|  10  |  id-2053  |    P48499   |     13.61     |
|  11  |   id-676  |    P48499   |     13.77     |
|  12  |  id-1709  |    P48499   |     15.94     |
|  13  |   id-396  |    P48499   |     16.14     |
|  14  |  id-1796  |    P48499   |     16.51     |
|  15  |  id-1987  |    P48499   |     23.71     |
|  16  |  id-2438  |    P48499   |     25.09     |
|  17  |  id-2572  |    P48499   |     29.30     |
|  18  |  id-4778  |    P48499   |     29.49     |
|  19  |  id-2185  |    P48499   |     33.49     |
|  20  |  id-2654  |    P48499   |     33.73     |
|  21  |  id-1759  |    P48499   |     35.27     |
|  22  |  id-1426  |    P48499   |     35.58     |
|  23  |  id-1689  |    P48499   |     35.99     |
|  24  |  id-2457  |    P48499   |     36.01     |
|  25  |   id-290  |    P48499   |     36.22     |
|  26  |  id-1511  |    P48499   |     36.92     |
|  27  |  id-2851  |    P48499   |     37.32     |
|  28  |  id-1585  |    P48499   |     38.01     |
|  29  |  id-4801  |    P48499   |     38.99     |
|  30  |  id-2869  |    P48499   |     39.28     |
|  31  |  id-5286  |    P48499   |     40.02     |
|  32  |  id-3609  |    P48499   |     41.72     |
|  33  |  id-2949  |    P48499   |     42.62     |
|  34  |   id-78   |    P48499   |     43.36     |
|  35  |  id-3445  |    P48499   |     44.70     |
|  36  |  id-4149  |    P48499   |     45.88     |
|  37  |  id-1349  |    P48499   |     47.27     |
|  38  |  id-1027  |    P48499   |     48.21     |
|  39  |  id-5359  |    P48499   |     48.32     |
|  40  |  id-2470  |    P48499   |     50.06     |
|  41  |  id-1383  |    P48499   |     52.62     |
|  42  |  id-2977  |    P48499   |     52.98     |
|  43  |  id-4114  |    P48499   |     54.62     |
|  44  |  id-4061  |    P48499   |     56.40     |
|  45  |   id-475  |    P48499   |     56.69     |
|  46  |  id-1645  |    P48499   |     58.72     |
|  47  |  id-5301  |    P48499   |     59.47     |
|  48  |  id-5218  |    P48499   |     59.67     |
|  49  |  id-1832  |    P48499   |     60.62     |
|  50  |  id-4172  |    P48499   |     62.61     |
|  51  |  id-1329  |    P48499   |     63.37     |
|  52  |   id-846  |    P48499   |     64.91     |
|  53  |  id-2646  |    P48499   |     64.91     |
|  54  |  id-2493  |    P48499   |     66.69     |
|  55  |  id-3911  |    P48499   |     67.36     |
|  56  |  id-1176  |    P48499   |     71.27     |
|  57  |  id-1131  |    P48499   |     75.34     |
|  58  |  id-1302  |    P48499   |     76.18     |
|  59  |   id-271  |    P48499   |     77.61     |
|  60  |  id-2484  |    P48499   |     77.76     |
|  61  |  id-1934  |    P48499   |     77.90     |
|  62  |  id-2078  |    P48499   |     81.02     |
|  63  |  id-3746  |    P48499   |     82.31     |
|  64  |  id-5380  |    P48499   |     83.37     |
|  65  |  id-3024  |    P48499   |     85.38     |
|  66  |  id-1816  |    P48499   |     86.03     |
|  67  |  id-1937  |    P48499   |     88.53     |
|  68  |  id-5201  |    P48499   |     88.84     |
|  69  |  id-5243  |    P48499   |     89.78     |
|  70  |  id-5229  |    P48499   |     90.35     |
|  71  |  id-3342  |    P48499   |     90.38     |
|  72  |  id-3927  |    P48499   |     90.38     |
|  73  |  id-1225  |    P48499   |     92.01     |
|  74  |  id-4183  |    P48499   |     93.14     |
|  75  |  id-2001  |    P48499   |     93.53     |
|  76  |  id-2436  |    P48499   |     94.46     |
|  77  |   id-272  |    P48499   |     94.54     |
|  78  |  id-5220  |    P48499   |     96.43     |
|  79  |  id-2411  |    P48499   |     96.70     |
|  80  |  id-4173  |    P48499   |     96.77     |
|  81  |  id-1116  |    P48499   |     97.08     |
|  82  |  id-2129  |    P48499   |     101.28    |
|  83  |  id-1228  |    P48499   |     102.17    |
|  84  |  id-3604  |    P48499   |     103.09    |
|  85  |   id-823  |    P48499   |     103.55    |
|  86  |  id-3657  |    P48499   |     104.00    |
|  87  |  id-2776  |    P48499   |     104.83    |
|  88  |  id-1314  |    P48499   |     105.63    |
|  89  |   id-430  |    P48499   |     108.26    |
|  90  |   id-774  |    P48499   |     109.11    |
|  91  |  id-1057  |    P48499   |     109.39    |
|  92  |  id-4548  |    P48499   |     110.63    |
|  93  |    id-6   |    P48499   |     110.87    |
|  94  |  id-1947  |    P48499   |     110.87    |
|  95  |  id-4941  |    P48499   |     111.87    |
|  96  |  id-2575  |    P48499   |     112.68    |
|  97  |   id-756  |    P48499   |     114.09    |
|  98  |  id-3225  |    P48499   |     114.44    |
|  99  |  id-2230  |    P48499   |     115.05    |
| 100  |   id-100  |    P48499   |     115.28    |
| 101  |  id-1046  |    P48499   |     115.35    |
| 102  |  id-2562  |    P48499   |     121.21    |
| 103  |  id-5210  |    P48499   |     122.20    |
| 104  |  id-1595  |    P48499   |     123.29    |
| 105  |  id-1354  |    P48499   |     124.05    |
| 106  |  id-2667  |    P48499   |     124.36    |
| 107  |  id-2709  |    P48499   |     124.96    |
| 108  |  id-4484  |    P48499   |     126.37    |
| 109  |   id-296  |    P48499   |     127.66    |
| 110  |  id-3331  |    P48499   |     127.98    |
| 111  |  id-3341  |    P48499   |     128.60    |
| 112  |  id-1858  |    P48499   |     128.93    |
| 113  |  id-2809  |    P48499   |     131.71    |
| 114  |  id-5351  |    P48499   |     131.99    |
| 115  |  id-4138  |    P48499   |     132.45    |
| 116  |  id-5217  |    P48499   |     134.45    |
| 117  |  id-4197  |    P48499   |     135.10    |
| 118  |  id-1616  |    P48499   |     135.63    |
| 119  |   id-320  |    P48499   |     135.98    |
| 120  |   id-465  |    P48499   |     136.12    |
| 121  |  id-1261  |    P48499   |     136.19    |
| 122  |   id-260  |    P48499   |     137.66    |
| 123  |  id-1402  |    P48499   |     137.66    |
| 124  |  id-2752  |    P48499   |     137.95    |
| 125  |  id-2733  |    P48499   |     138.51    |
| 126  |  id-1303  |    P48499   |     140.86    |
| 127  |  id-5306  |    P48499   |     141.15    |
| 128  |  id-4357  |    P48499   |     141.23    |
| 129  |  id-3300  |    P48499   |     141.85    |
| 130  |  id-1476  |    P48499   |     142.18    |
| 131  |  id-4947  |    P48499   |     142.77    |
| 132  |   id-793  |    P48499   |     143.10    |
| 133  |  id-4673  |    P48499   |     144.92    |
| 134  |   id-433  |    P48499   |     145.05    |
| 135  |   id-336  |    P48499   |     145.54    |
| 136  |  id-3502  |    P48499   |     145.99    |
