+------+-----------+-------------+---------------+
| Rank | Drug Name | Target Name | Binding Score |
+------+-----------+-------------+---------------+
|  1   |  id-2552  |    Q27686   |      0.94     |
|  2   |   id-949  |    Q27686   |      1.21     |
|  3   |  id-1118  |    Q27686   |      1.26     |
|  4   |  id-2446  |    Q27686   |      1.31     |
|  5   |  id-2168  |    Q27686   |      1.33     |
|  6   |  id-4161  |    Q27686   |      1.75     |
|  7   |  id-3880  |    Q27686   |      2.31     |
|  8   |  id-4907  |    Q27686   |      2.61     |
|  9   |  id-2574  |    Q27686   |      2.68     |
|  10  |  id-2053  |    Q27686   |      2.68     |
|  11  |   id-676  |    Q27686   |      2.85     |
|  12  |   id-396  |    Q27686   |      3.00     |
|  13  |  id-1709  |    Q27686   |      3.13     |
|  14  |  id-1796  |    Q27686   |      3.19     |
|  15  |  id-1987  |    Q27686   |      5.09     |
|  16  |  id-2438  |    Q27686   |      5.46     |
|  17  |  id-4778  |    Q27686   |      6.10     |
|  18  |  id-2572  |    Q27686   |      6.35     |
|  19  |  id-2654  |    Q27686   |      7.15     |
|  20  |  id-2457  |    Q27686   |      7.50     |
|  21  |  id-1759  |    Q27686   |      7.63     |
|  22  |  id-2185  |    Q27686   |      7.71     |
|  23  |   id-290  |    Q27686   |      8.30     |
|  24  |  id-1426  |    Q27686   |      8.34     |
|  25  |  id-1689  |    Q27686   |      8.39     |
|  26  |  id-4801  |    Q27686   |      8.55     |
|  27  |  id-1511  |    Q27686   |      8.80     |
|  28  |  id-1585  |    Q27686   |      9.16     |
|  29  |  id-5286  |    Q27686   |      9.21     |
|  30  |  id-3445  |    Q27686   |      9.69     |
|  31  |  id-2949  |    Q27686   |      9.71     |
|  32  |  id-3609  |    Q27686   |      9.95     |
|  33  |   id-78   |    Q27686   |     10.06     |
|  34  |  id-2851  |    Q27686   |     10.09     |
|  35  |  id-1027  |    Q27686   |     11.02     |
|  36  |  id-4149  |    Q27686   |     11.13     |
|  37  |  id-1349  |    Q27686   |     11.24     |
