+------+-----------+-------------+---------------+
| Rank | Drug Name | Target Name | Binding Score |
+------+-----------+-------------+---------------+
|  1   |  id-2552  |    Q4QBL1   |      0.90     |
|  2   |   id-949  |    Q4QBL1   |      1.16     |
|  3   |  id-1118  |    Q4QBL1   |      1.23     |
|  4   |  id-2168  |    Q4QBL1   |      1.27     |
|  5   |  id-2446  |    Q4QBL1   |      1.28     |
|  6   |  id-4161  |    Q4QBL1   |      1.67     |
|  7   |  id-3880  |    Q4QBL1   |      1.92     |
|  8   |  id-2053  |    Q4QBL1   |      2.15     |
|  9   |  id-4907  |    Q4QBL1   |      2.16     |
|  10  |  id-2574  |    Q4QBL1   |      2.33     |
|  11  |   id-676  |    Q4QBL1   |      2.40     |
|  12  |   id-396  |    Q4QBL1   |      2.45     |
|  13  |  id-1709  |    Q4QBL1   |      2.56     |
|  14  |  id-1796  |    Q4QBL1   |      2.59     |
|  15  |  id-1987  |    Q4QBL1   |      4.00     |
|  16  |  id-2438  |    Q4QBL1   |      4.17     |
|  17  |  id-4778  |    Q4QBL1   |      4.67     |
|  18  |  id-2572  |    Q4QBL1   |      4.79     |
|  19  |  id-2654  |    Q4QBL1   |      5.13     |
|  20  |  id-1759  |    Q4QBL1   |      5.70     |
|  21  |  id-2457  |    Q4QBL1   |      5.77     |
|  22  |  id-2185  |    Q4QBL1   |      6.05     |
|  23  |  id-1426  |    Q4QBL1   |      6.27     |
|  24  |   id-290  |    Q4QBL1   |      6.40     |
|  25  |  id-1585  |    Q4QBL1   |      6.58     |
|  26  |  id-4801  |    Q4QBL1   |      6.59     |
|  27  |  id-1689  |    Q4QBL1   |      6.60     |
|  28  |  id-1511  |    Q4QBL1   |      6.65     |
|  29  |  id-2851  |    Q4QBL1   |      6.88     |
|  30  |  id-5286  |    Q4QBL1   |      7.07     |
|  31  |  id-2949  |    Q4QBL1   |      7.43     |
|  32  |  id-3445  |    Q4QBL1   |      7.48     |
|  33  |  id-3609  |    Q4QBL1   |      7.51     |
|  34  |   id-78   |    Q4QBL1   |      7.71     |
|  35  |  id-4149  |    Q4QBL1   |      8.35     |
|  36  |  id-1027  |    Q4QBL1   |      8.41     |
|  37  |  id-1349  |    Q4QBL1   |      8.64     |
|  38  |  id-5359  |    Q4QBL1   |      8.65     |
|  39  |  id-4061  |    Q4QBL1   |      8.87     |
|  40  |  id-1383  |    Q4QBL1   |      9.34     |
|  41  |  id-2470  |    Q4QBL1   |      9.36     |
|  42  |  id-2977  |    Q4QBL1   |      9.40     |
|  43  |  id-4114  |    Q4QBL1   |     10.19     |
|  44  |  id-1645  |    Q4QBL1   |     10.83     |
|  45  |   id-475  |    Q4QBL1   |     10.86     |
|  46  |  id-5218  |    Q4QBL1   |     10.94     |
|  47  |  id-5301  |    Q4QBL1   |     11.38     |
|  48  |   id-846  |    Q4QBL1   |     11.43     |
|  49  |  id-2646  |    Q4QBL1   |     11.43     |
|  50  |  id-4172  |    Q4QBL1   |     11.44     |
|  51  |  id-1832  |    Q4QBL1   |     11.53     |
|  52  |  id-1329  |    Q4QBL1   |     12.03     |
|  53  |  id-2493  |    Q4QBL1   |     12.69     |
|  54  |  id-3911  |    Q4QBL1   |     13.52     |
|  55  |  id-2078  |    Q4QBL1   |     14.21     |
|  56  |  id-1176  |    Q4QBL1   |     14.57     |
|  57  |  id-1302  |    Q4QBL1   |     15.63     |
|  58  |   id-271  |    Q4QBL1   |     15.63     |
|  59  |  id-1934  |    Q4QBL1   |     16.07     |
|  60  |  id-1131  |    Q4QBL1   |     16.23     |
|  61  |  id-2484  |    Q4QBL1   |     16.61     |
|  62  |  id-5380  |    Q4QBL1   |     17.81     |
|  63  |  id-3024  |    Q4QBL1   |     18.09     |
|  64  |  id-2129  |    Q4QBL1   |     18.46     |
|  65  |  id-3604  |    Q4QBL1   |     18.48     |
|  66  |  id-1816  |    Q4QBL1   |     18.72     |
|  67  |  id-1937  |    Q4QBL1   |     19.19     |
|  68  |  id-3342  |    Q4QBL1   |     19.60     |
|  69  |  id-3927  |    Q4QBL1   |     19.60     |
|  70  |  id-5243  |    Q4QBL1   |     19.73     |
|  71  |  id-1314  |    Q4QBL1   |     19.88     |
|  72  |  id-1225  |    Q4QBL1   |     19.89     |
|  73  |  id-5229  |    Q4QBL1   |     20.08     |
|  74  |  id-4183  |    Q4QBL1   |     20.22     |
|  75  |  id-2001  |    Q4QBL1   |     20.24     |
|  76  |   id-272  |    Q4QBL1   |     20.40     |
|  77  |  id-3657  |    Q4QBL1   |     21.08     |
|  78  |  id-2436  |    Q4QBL1   |     21.10     |
|  79  |  id-4173  |    Q4QBL1   |     21.56     |
|  80  |  id-2575  |    Q4QBL1   |     21.62     |
|  81  |  id-5220  |    Q4QBL1   |     21.79     |
|  82  |  id-1116  |    Q4QBL1   |     21.83     |
|  83  |   id-430  |    Q4QBL1   |     21.88     |
|  84  |   id-756  |    Q4QBL1   |     22.04     |
|  85  |  id-2411  |    Q4QBL1   |     22.31     |
|  86  |  id-1228  |    Q4QBL1   |     22.94     |
|  87  |  id-1595  |    Q4QBL1   |     23.08     |
|  88  |  id-2709  |    Q4QBL1   |     23.58     |
|  89  |  id-2562  |    Q4QBL1   |     23.64     |
|  90  |  id-2667  |    Q4QBL1   |     23.67     |
|  91  |  id-2776  |    Q4QBL1   |     23.73     |
|  92  |  id-3225  |    Q4QBL1   |     23.87     |
|  93  |   id-823  |    Q4QBL1   |     24.02     |
|  94  |   id-774  |    Q4QBL1   |     24.92     |
|  95  |    id-6   |    Q4QBL1   |     25.74     |
|  96  |  id-1947  |    Q4QBL1   |     25.74     |
|  97  |  id-4548  |    Q4QBL1   |     25.79     |
|  98  |  id-5210  |    Q4QBL1   |     26.19     |
|  99  |  id-5351  |    Q4QBL1   |     26.50     |
| 100  |  id-4138  |    Q4QBL1   |     26.52     |
| 101  |  id-4197  |    Q4QBL1   |     26.84     |
| 102  |  id-4484  |    Q4QBL1   |     26.88     |
| 103  |  id-2230  |    Q4QBL1   |     26.99     |
| 104  |   id-100  |    Q4QBL1   |     27.09     |
| 105  |  id-1046  |    Q4QBL1   |     27.30     |
| 106  |  id-1303  |    Q4QBL1   |     27.70     |
| 107  |  id-4941  |    Q4QBL1   |     29.28     |
| 108  |  id-1354  |    Q4QBL1   |     29.80     |
| 109  |   id-296  |    Q4QBL1   |     29.97     |
| 110  |  id-3341  |    Q4QBL1   |     30.29     |
| 111  |  id-3300  |    Q4QBL1   |     30.33     |
| 112  |   id-433  |    Q4QBL1   |     30.50     |
| 113  |  id-2733  |    Q4QBL1   |     30.55     |
| 114  |   id-260  |    Q4QBL1   |     30.55     |
| 115  |  id-1402  |    Q4QBL1   |     30.55     |
| 116  |   id-383  |    Q4QBL1   |     30.61     |
| 117  |  id-4749  |    Q4QBL1   |     30.63     |
| 118  |  id-4673  |    Q4QBL1   |     30.70     |
| 119  |  id-4660  |    Q4QBL1   |     31.02     |
| 120  |   id-465  |    Q4QBL1   |     31.03     |
| 121  |  id-1858  |    Q4QBL1   |     31.10     |
| 122  |  id-3331  |    Q4QBL1   |     31.14     |
| 123  |   id-320  |    Q4QBL1   |     31.17     |
| 124  |   id-336  |    Q4QBL1   |     31.40     |
| 125  |  id-1616  |    Q4QBL1   |     31.76     |
| 126  |  id-1261  |    Q4QBL1   |     31.87     |
| 127  |  id-5217  |    Q4QBL1   |     31.89     |
