+------+-----------+-------------+---------------+
| Rank | Drug Name | Target Name | Binding Score |
+------+-----------+-------------+---------------+
|  1   |  id-2552  |    Q4QHJ8   |      0.55     |
|  2   |  id-1118  |    Q4QHJ8   |      0.77     |
|  3   |  id-2168  |    Q4QHJ8   |      0.77     |
|  4   |   id-949  |    Q4QHJ8   |      0.79     |
|  5   |  id-2446  |    Q4QHJ8   |      0.79     |
|  6   |  id-4161  |    Q4QHJ8   |      1.04     |
|  7   |  id-3880  |    Q4QHJ8   |      1.38     |
|  8   |  id-2574  |    Q4QHJ8   |      1.53     |
|  9   |  id-2053  |    Q4QHJ8   |      1.53     |
|  10  |  id-4907  |    Q4QHJ8   |      1.58     |
|  11  |   id-396  |    Q4QHJ8   |      1.71     |
|  12  |  id-1709  |    Q4QHJ8   |      1.73     |
|  13  |   id-676  |    Q4QHJ8   |      1.76     |
|  14  |  id-1796  |    Q4QHJ8   |      1.85     |
|  15  |  id-1987  |    Q4QHJ8   |      2.55     |
|  16  |  id-2438  |    Q4QHJ8   |      2.79     |
|  17  |  id-4778  |    Q4QHJ8   |      3.05     |
|  18  |  id-2572  |    Q4QHJ8   |      3.25     |
|  19  |  id-2654  |    Q4QHJ8   |      3.58     |
|  20  |  id-1759  |    Q4QHJ8   |      3.76     |
|  21  |  id-2457  |    Q4QHJ8   |      3.85     |
|  22  |  id-2185  |    Q4QHJ8   |      4.01     |
|  23  |  id-4801  |    Q4QHJ8   |      4.27     |
|  24  |  id-1426  |    Q4QHJ8   |      4.28     |
|  25  |   id-290  |    Q4QHJ8   |      4.31     |
|  26  |  id-1511  |    Q4QHJ8   |      4.40     |
|  27  |  id-1689  |    Q4QHJ8   |      4.40     |
|  28  |  id-5286  |    Q4QHJ8   |      4.80     |
|  29  |  id-3609  |    Q4QHJ8   |      5.03     |
|  30  |  id-2949  |    Q4QHJ8   |      5.04     |
|  31  |  id-1585  |    Q4QHJ8   |      5.11     |
|  32  |   id-78   |    Q4QHJ8   |      5.19     |
|  33  |  id-3445  |    Q4QHJ8   |      5.25     |
|  34  |  id-1027  |    Q4QHJ8   |      5.65     |
|  35  |  id-4149  |    Q4QHJ8   |      5.67     |
|  36  |  id-5359  |    Q4QHJ8   |      5.82     |
|  37  |  id-1349  |    Q4QHJ8   |      5.83     |
|  38  |  id-1383  |    Q4QHJ8   |      6.28     |
|  39  |  id-2977  |    Q4QHJ8   |      6.30     |
|  40  |  id-2470  |    Q4QHJ8   |      6.32     |
|  41  |  id-4061  |    Q4QHJ8   |      6.33     |
