+------+-----------+-------------+---------------+
| Rank | Drug Name | Target Name | Binding Score |
+------+-----------+-------------+---------------+
|  1   |  id-2552  |    Q6TUJ5   |      2.77     |
|  2   |  id-1118  |    Q6TUJ5   |      3.65     |
|  3   |  id-2168  |    Q6TUJ5   |      3.80     |
|  4   |  id-2446  |    Q6TUJ5   |      3.89     |
|  5   |   id-949  |    Q6TUJ5   |      5.88     |
|  6   |  id-4161  |    Q6TUJ5   |      6.85     |
|  7   |  id-3880  |    Q6TUJ5   |     11.00     |
|  8   |  id-4907  |    Q6TUJ5   |     12.34     |
|  9   |  id-2053  |    Q6TUJ5   |     12.89     |
|  10  |  id-2574  |    Q6TUJ5   |     12.91     |
|  11  |   id-676  |    Q6TUJ5   |     13.22     |
|  12  |  id-1709  |    Q6TUJ5   |     15.19     |
|  13  |  id-1796  |    Q6TUJ5   |     16.84     |
|  14  |   id-396  |    Q6TUJ5   |     19.05     |
|  15  |  id-1987  |    Q6TUJ5   |     22.45     |
|  16  |  id-2438  |    Q6TUJ5   |     23.83     |
|  17  |  id-2572  |    Q6TUJ5   |     27.57     |
|  18  |  id-4778  |    Q6TUJ5   |     28.09     |
|  19  |  id-2185  |    Q6TUJ5   |     31.83     |
|  20  |  id-1426  |    Q6TUJ5   |     33.57     |
|  21  |  id-1689  |    Q6TUJ5   |     34.09     |
|  22  |   id-290  |    Q6TUJ5   |     34.22     |
|  23  |  id-1511  |    Q6TUJ5   |     34.75     |
|  24  |  id-5286  |    Q6TUJ5   |     37.76     |
|  25  |  id-3609  |    Q6TUJ5   |     39.24     |
|  26  |  id-2949  |    Q6TUJ5   |     40.08     |
|  27  |  id-1759  |    Q6TUJ5   |     40.63     |
|  28  |  id-2457  |    Q6TUJ5   |     40.79     |
|  29  |  id-2654  |    Q6TUJ5   |     41.10     |
|  30  |   id-78   |    Q6TUJ5   |     41.62     |
|  31  |  id-4801  |    Q6TUJ5   |     42.65     |
|  32  |  id-4149  |    Q6TUJ5   |     42.73     |
|  33  |  id-1349  |    Q6TUJ5   |     44.34     |
|  34  |  id-3445  |    Q6TUJ5   |     45.44     |
|  35  |  id-1585  |    Q6TUJ5   |     49.47     |
|  36  |  id-2470  |    Q6TUJ5   |     49.99     |
|  37  |  id-4114  |    Q6TUJ5   |     50.51     |
|  38  |  id-5359  |    Q6TUJ5   |     51.22     |
|  39  |  id-1027  |    Q6TUJ5   |     54.33     |
