zinc_id,pid,Kd,DeepPurpose_score
ZINC000001719021,Q6TUJ5,1.718555927276611,313951.91
ZINC000005850277,Q6TUJ5,1.8118325471878047,208715.55
ZINC000012358775,Q6TUJ5,1.8243762254714968,117669.25
ZINC000037253587,Q6TUJ5,1.8409668207168581,168889.99
ZINC000038174299,Q6TUJ5,1.965312957763672,4792.58
ZINC000038174297,Q6TUJ5,1.965312957763672,4792.58
ZINC000003593790,Q6TUJ5,1.965312957763672,4792.58
ZINC000019364225,Q6TUJ5,1.9722011089324951,448884.3
ZINC000004658557,P48499,2.0338339805603027,17460.45
ZINC000004658609,O97193,2.0462186336517334,31777.38
ZINC000004658608,O97193,2.0462186336517334,31777.38
ZINC000000895316,P48499,2.081125020980835,44583.36
ZINC000000895318,P48499,2.081125020980835,44583.36
ZINC000012358775,O15826,2.1040046215057373,11686.3
ZINC000000895212,P48499,2.1235208511352544,30924.66
ZINC000006050663,P48499,2.1245863437652592,30320.95
ZINC000005134119,Q6TUJ5,2.1351976394653316,3721.01
ZINC000005134113,Q6TUJ5,2.1351976394653316,3721.01
ZINC000001693386,Q6TUJ5,2.158407926559448,362300.69
ZINC000008034121,Q6TUJ5,2.186157703399658,448614.05
ZINC000001680419,Q6TUJ5,2.1929855346679688,43101.17
ZINC000000388081,Q6TUJ5,2.209013700485229,10733.03
ZINC000019230121,Q6TUJ5,2.211714506149292,131054.85
ZINC000004658557,Q27686,2.21282696723938,4421.63
ZINC000000895316,Q6TUJ5,2.218312263488769,63200.11
ZINC000000895318,Q6TUJ5,2.218312263488769,63200.11
ZINC000000901351,P48499,2.2324111461639404,28598.02
ZINC000004658553,P48499,2.233999729156494,36518.01
ZINC000004658608,Q4QHJ8,2.2348651885986333,80933.58
ZINC000004658609,Q4QHJ8,2.2348651885986333,80933.58
ZINC000000164395,Q6TUJ5,2.2576186656951904,212149.28
ZINC000006050663,Q27686,2.2651896476745605,8022.1
ZINC000004658552,P48499,2.27020001411438,29929.5
ZINC000000155694,Q6TUJ5,2.277735710144043,8387.17
ZINC000100008275,Q6TUJ5,2.277735710144043,8387.17
ZINC000000002233,Q6TUJ5,2.277750968933105,63417.05
ZINC000000895030,P48499,2.283442497253418,36876.77
ZINC000000895271,P48499,2.2841546535491943,29429.63
ZINC000017971067,P48499,2.2841546535491943,29429.63
ZINC000000895212,Q27686,2.301633358001709,8967.67
ZINC000000895264,P48499,2.302712202072144,1798.29
ZINC000000895074,P48499,2.302712202072144,1798.29
ZINC000006827693,Q27686,2.305142879486084,44013.91
ZINC000000895264,Q27686,2.328092098236084,614.07
ZINC000000895074,Q27686,2.328092098236084,614.07
ZINC000000895316,Q27686,2.338186502456665,35712.42
ZINC000000895318,Q27686,2.338186502456665,35712.42
ZINC000000001028,Q6TUJ5,2.3416290283203125,145110.17
ZINC000000895034,P48499,2.3440959453582764,4581.23
ZINC000000895342,P48499,2.3440959453582764,4581.23
ZINC000000895969,Q6TUJ5,2.3504011631011963,103100.01
ZINC000006827693,P48499,2.351216554641724,67903.55
ZINC000004658609,Q4QBL1,2.3512842655181885,71384.56
ZINC000004658608,Q4QBL1,2.3512842655181885,71384.56
ZINC000242522150,Q27686,2.3554952144622803,57422.72
ZINC000000895032,P48499,2.359618186950684,18454.62
ZINC000000968256,Q6TUJ5,2.36905837059021,40051.93
ZINC000001482113,P48499,2.371837615966797,24748.42
ZINC000037253587,O15826,2.374572515487671,8814.32
ZINC000001680419,O15826,2.376520156860352,3872.34
ZINC000004658609,Q6TUJ5,2.3767268657684326,241492.86
ZINC000004658608,Q6TUJ5,2.3767268657684326,241492.86
ZINC000018168715,P48499,2.3783867359161377,14232.95
ZINC000004642990,Q6TUJ5,2.3847014904022217,96440.0
