+------+------------------+-------------+---------------+
| Rank |    Drug Name     | Target Name | Binding Score |
+------+------------------+-------------+---------------+
|  1   | ZINC000001530621 |    O97193   |      0.35     |
|  2   | ZINC000169734975 |    O97193   |      0.39     |
|  3   | ZINC000095092801 |    O97193   |      0.50     |
|  4   | ZINC000252548735 |    O97193   |      0.53     |
|  5   | ZINC000252548734 |    O97193   |      0.53     |
|  6   | ZINC000169289411 |    O97193   |      0.53     |
|  7   | ZINC000003830999 |    O97193   |      0.54     |
|  8   | ZINC000003831000 |    O97193   |      0.54     |
|  9   | ZINC000003936035 |    O97193   |      0.56     |
|  10  | ZINC000095618608 |    O97193   |      0.57     |
|  11  | ZINC000261494662 |    O97193   |      0.59     |
|  12  | ZINC000261494663 |    O97193   |      0.59     |
|  13  | ZINC000085599303 |    O97193   |      0.59     |
|  14  | ZINC000095618832 |    O97193   |      0.59     |
|  15  | ZINC000135669648 |    O97193   |      0.74     |
|  16  | ZINC000299841531 |    O97193   |      0.74     |
|  17  | ZINC000299841533 |    O97193   |      0.74     |
|  18  | ZINC000299841532 |    O97193   |      0.74     |
|  19  | ZINC000169356261 |    O97193   |      0.75     |
|  20  | ZINC000085536990 |    O97193   |      0.75     |
|  21  | ZINC000095617678 |    O97193   |      0.75     |
|  22  | ZINC000253496134 |    O97193   |      0.75     |
|  23  | ZINC000003953037 |    O97193   |      0.76     |
|  24  | ZINC000253687865 |    O97193   |      0.76     |
|  25  | ZINC000299888510 |    O97193   |      0.76     |
|  26  | ZINC000299888509 |    O97193   |      0.76     |
|  27  | ZINC000299888511 |    O97193   |      0.76     |
|  28  | ZINC000169677008 |    O97193   |      0.76     |
|  29  | ZINC000254113657 |    O97193   |      0.76     |
|  30  | ZINC000169621231 |    O97193   |      0.76     |
|  31  | ZINC000169621230 |    O97193   |      0.76     |
|  32  | ZINC000096006018 |    O97193   |      0.79     |
|  33  | ZINC000253684767 |    O97193   |      0.79     |
|  34  | ZINC000169289388 |    O97193   |      0.79     |
|  35  | ZINC000257372319 |    O97193   |      0.79     |
|  36  | ZINC000261494640 |    O97193   |      0.79     |
|  37  | ZINC000082138051 |    O97193   |      0.80     |
|  38  | ZINC000206179175 |    O97193   |      0.81     |
|  39  | ZINC000003830994 |    O97193   |      0.81     |
|  40  | ZINC000003830993 |    O97193   |      0.81     |
|  41  | ZINC000261512594 |    O97193   |      0.85     |
|  42  | ZINC000100100396 |    O97193   |      0.85     |
|  43  | ZINC000206179363 |    O97193   |      0.86     |
|  44  | ZINC000025723899 |    O97193   |      0.86     |
|  45  | ZINC000000000855 |    O97193   |      0.91     |
|  46  | ZINC000000000504 |    O97193   |      0.91     |
|  47  | ZINC000040430143 |    O97193   |      0.93     |
|  48  | ZINC000100014880 |    O97193   |      0.94     |
|  49  | ZINC000000599871 |    O97193   |      0.94     |
|  50  | ZINC000000001898 |    O97193   |      0.98     |
|  51  | ZINC000000002232 |    O97193   |      1.03     |
|  52  | ZINC000003808350 |    O97193   |      1.07     |
|  53  | ZINC000103591745 |    O97193   |      1.08     |
|  54  | ZINC000003861637 |    O97193   |      1.08     |
|  55  | ZINC000000601316 |    O97193   |      1.12     |
|  56  | ZINC000003830579 |    O97193   |      1.12     |
|  57  | ZINC000098052868 |    O97193   |      1.12     |
|  58  | ZINC000150363615 |    O97193   |      1.12     |
|  59  | ZINC000159897988 |    O97193   |      1.12     |
|  60  | ZINC000159898174 |    O97193   |      1.12     |
|  61  | ZINC000043103796 |    O97193   |      1.14     |
|  62  | ZINC000299841511 |    O97193   |      1.16     |
|  63  | ZINC000068268153 |    O97193   |      1.16     |
|  64  | ZINC000001482169 |    O97193   |      1.21     |
|  65  | ZINC000005736075 |    O97193   |      1.24     |
|  66  | ZINC000000537997 |    O97193   |      1.24     |
|  67  | ZINC000003974496 |    O97193   |      1.24     |
|  68  | ZINC000003780941 |    O97193   |      1.26     |
|  69  | ZINC000000002176 |    O97193   |      1.28     |
|  70  | ZINC000000403609 |    O97193   |      1.28     |
|  71  | ZINC000003936683 |    O97193   |      1.28     |
|  72  | ZINC000000897232 |    O97193   |      1.31     |
|  73  | ZINC000000897229 |    O97193   |      1.31     |
|  74  | ZINC000000538194 |    O97193   |      1.34     |
|  75  | ZINC000029058869 |    O97193   |      1.40     |
|  76  | ZINC000072316335 |    O97193   |      1.49     |
|  77  | ZINC000005921098 |    O97193   |      1.49     |
|  78  | ZINC000205341959 |    O97193   |      1.50     |
|  79  | ZINC000096273105 |    O97193   |      1.51     |
|  80  | ZINC000105576134 |    O97193   |      1.53     |
|  81  | ZINC000137281876 |    O97193   |      1.53     |
|  82  | ZINC000003808779 |    O97193   |      1.54     |
|  83  | ZINC000000003897 |    O97193   |      1.54     |
|  84  | ZINC000003935475 |    O97193   |      1.57     |
|  85  | ZINC000100017456 |    O97193   |      1.57     |
|  86  | ZINC000003927605 |    O97193   |      1.58     |
|  87  | ZINC000003873121 |    O97193   |      1.59     |
|  88  | ZINC000049937658 |    O97193   |      1.61     |
|  89  | ZINC000053261548 |    O97193   |      1.61     |
|  90  | ZINC000000538119 |    O97193   |      1.63     |
|  91  | ZINC000014974583 |    O97193   |      1.64     |
|  92  | ZINC000100468481 |    O97193   |      1.65     |
|  93  | ZINC000068153186 |    O97193   |      1.65     |
|  94  | ZINC000043171152 |    O97193   |      1.66     |
|  95  | ZINC000000006157 |    O97193   |      1.66     |
|  96  | ZINC000001999487 |    O97193   |      1.66     |
|  97  | ZINC000100011067 |    O97193   |      1.66     |
|  98  | ZINC000063539231 |    O97193   |      1.68     |
|  99  | ZINC000033972864 |    O97193   |      1.68     |
| 100  | ZINC000004097225 |    O97193   |      1.70     |
| 101  | ZINC000035279789 |    O97193   |      1.72     |
| 102  | ZINC000003830916 |    O97193   |      1.77     |
| 103  | ZINC000072190219 |    O97193   |      1.79     |
| 104  | ZINC000118915336 |    O97193   |      1.80     |
| 105  | ZINC000118915337 |    O97193   |      1.80     |
| 106  | ZINC000118915338 |    O97193   |      1.80     |
| 107  | ZINC000118915339 |    O97193   |      1.80     |
| 108  | ZINC000000001676 |    O97193   |      1.80     |
| 109  | ZINC000003798734 |    O97193   |      1.82     |
| 110  | ZINC000012496045 |    O97193   |      1.82     |
| 111  | ZINC000000006170 |    O97193   |      1.83     |
| 112  | ZINC000103590355 |    O97193   |      1.85     |
| 113  | ZINC000103590359 |    O97193   |      1.85     |
| 114  | ZINC000072190122 |    O97193   |      1.85     |
| 115  | ZINC000072190121 |    O97193   |      1.85     |
| 116  | ZINC000003813082 |    O97193   |      1.85     |
| 117  | ZINC000000601314 |    O97193   |      1.85     |
| 118  | ZINC000000000449 |    O97193   |      1.87     |
| 119  | ZINC000003813083 |    O97193   |      1.87     |
| 120  | ZINC000004217580 |    O97193   |      1.91     |
| 121  | ZINC000006716826 |    O97193   |      1.93     |
| 122  | ZINC000043200753 |    O97193   |      1.94     |
| 123  | ZINC000100016058 |    O97193   |      1.97     |
| 124  | ZINC000169748244 |    O97193   |      1.98     |
| 125  | ZINC000299816961 |    O97193   |      1.99     |
| 126  | ZINC000169677038 |    O97193   |      1.99     |
| 127  | ZINC000072190109 |    O97193   |      2.03     |
| 128  | ZINC000000000106 |    O97193   |      2.04     |
| 129  | ZINC000000002276 |    O97193   |      2.04     |
| 130  | ZINC000095627836 |    O97193   |      2.05     |
| 131  | ZINC000037866091 |    O97193   |      2.06     |
| 132  | ZINC000003787060 |    O97193   |      2.06     |
| 133  | ZINC000040939374 |    O97193   |      2.06     |
| 134  | ZINC000100734163 |    O97193   |      2.07     |
| 135  | ZINC000019362693 |    O97193   |      2.12     |
| 136  | ZINC000014299682 |    O97193   |      2.13     |
| 137  | ZINC000138930200 |    O97193   |      2.13     |
| 138  | ZINC000013520815 |    O97193   |      2.14     |
| 139  | ZINC000118915344 |    O97193   |      2.16     |
| 140  | ZINC000004214473 |    O97193   |      2.16     |
| 141  | ZINC000256479159 |    O97193   |      2.16     |
| 142  | ZINC000256479166 |    O97193   |      2.16     |
| 143  | ZINC000256479162 |    O97193   |      2.16     |
