+------+------------------+-------------+---------------+
| Rank |    Drug Name     | Target Name | Binding Score |
+------+------------------+-------------+---------------+
|  1   | ZINC000169734975 |    P48499   |      2.65     |
|  2   | ZINC000095092801 |    P48499   |      2.73     |
|  3   | ZINC000252548735 |    P48499   |      3.44     |
|  4   | ZINC000252548734 |    P48499   |      3.44     |
|  5   | ZINC000169289411 |    P48499   |      3.44     |
|  6   | ZINC000095618608 |    P48499   |      3.71     |
|  7   | ZINC000261494662 |    P48499   |      3.79     |
|  8   | ZINC000261494663 |    P48499   |      3.79     |
|  9   | ZINC000085599303 |    P48499   |      3.79     |
|  10  | ZINC000095618832 |    P48499   |      3.79     |
|  11  | ZINC000169677008 |    P48499   |      5.00     |
|  12  | ZINC000254113657 |    P48499   |      5.00     |
|  13  | ZINC000169621231 |    P48499   |      5.00     |
|  14  | ZINC000169621230 |    P48499   |      5.00     |
|  15  | ZINC000001530621 |    P48499   |      5.08     |
|  16  | ZINC000096006018 |    P48499   |      5.24     |
|  17  | ZINC000253684767 |    P48499   |      5.24     |
|  18  | ZINC000169289388 |    P48499   |      5.24     |
|  19  | ZINC000257372319 |    P48499   |      5.24     |
|  20  | ZINC000261494640 |    P48499   |      5.24     |
|  21  | ZINC000169356261 |    P48499   |      5.35     |
|  22  | ZINC000085536990 |    P48499   |      5.35     |
|  23  | ZINC000095617678 |    P48499   |      5.35     |
|  24  | ZINC000253496134 |    P48499   |      5.35     |
|  25  | ZINC000206179175 |    P48499   |      5.42     |
|  26  | ZINC000003936035 |    P48499   |      5.55     |
|  27  | ZINC000082138051 |    P48499   |      5.76     |
|  28  | ZINC000206179363 |    P48499   |      6.03     |
|  29  | ZINC000253687865 |    P48499   |      6.45     |
|  30  | ZINC000299888510 |    P48499   |      6.45     |
|  31  | ZINC000299888509 |    P48499   |      6.45     |
|  32  | ZINC000299888511 |    P48499   |      6.45     |
|  33  | ZINC000003808350 |    P48499   |      9.12     |
|  34  | ZINC000103591745 |    P48499   |      9.36     |
|  35  | ZINC000135669648 |    P48499   |      9.38     |
|  36  | ZINC000299841531 |    P48499   |      9.38     |
|  37  | ZINC000299841533 |    P48499   |      9.38     |
|  38  | ZINC000299841532 |    P48499   |      9.38     |
|  39  | ZINC000299841511 |    P48499   |      9.76     |
|  40  | ZINC000005736075 |    P48499   |     10.52     |
|  41  | ZINC000100014880 |    P48499   |     11.60     |
|  42  | ZINC000040430143 |    P48499   |     12.94     |
|  43  | ZINC000000601316 |    P48499   |     13.77     |
|  44  | ZINC000003830579 |    P48499   |     13.77     |
|  45  | ZINC000025723899 |    P48499   |     15.31     |
|  46  | ZINC000003808779 |    P48499   |     15.94     |
|  47  | ZINC000003953037 |    P48499   |     16.14     |
|  48  | ZINC000068268153 |    P48499   |     16.21     |
|  49  | ZINC000000000855 |    P48499   |     16.51     |
|  50  | ZINC000000000504 |    P48499   |     16.51     |
|  51  | ZINC000043103796 |    P48499   |     17.44     |
|  52  | ZINC000100468481 |    P48499   |     18.07     |
|  53  | ZINC000000538119 |    P48499   |     20.53     |
|  54  | ZINC000105576134 |    P48499   |     20.97     |
|  55  | ZINC000137281876 |    P48499   |     20.97     |
|  56  | ZINC000003780941 |    P48499   |     21.92     |
|  57  | ZINC000261512594 |    P48499   |     22.18     |
|  58  | ZINC000100100396 |    P48499   |     22.18     |
|  59  | ZINC000001482169 |    P48499   |     25.09     |
|  60  | ZINC000000537997 |    P48499   |     25.45     |
|  61  | ZINC000098052868 |    P48499   |     25.48     |
|  62  | ZINC000150363615 |    P48499   |     25.48     |
|  63  | ZINC000159897988 |    P48499   |     25.48     |
|  64  | ZINC000159898174 |    P48499   |     25.48     |
|  65  | ZINC000000599871 |    P48499   |     25.97     |
|  66  | ZINC000000538194 |    P48499   |     27.38     |
|  67  | ZINC000003787060 |    P48499   |     29.30     |
|  68  | ZINC000299816961 |    P48499   |     29.49     |
