+------+------------------+-------------+---------------+
| Rank |    Drug Name     | Target Name | Binding Score |
+------+------------------+-------------+---------------+
|  1   | ZINC000169734975 |    Q27686   |      0.71     |
|  2   | ZINC000095092801 |    Q27686   |      0.86     |
|  3   | ZINC000252548735 |    Q27686   |      0.94     |
|  4   | ZINC000252548734 |    Q27686   |      0.94     |
|  5   | ZINC000169289411 |    Q27686   |      0.94     |
|  6   | ZINC000095618608 |    Q27686   |      1.02     |
|  7   | ZINC000261494662 |    Q27686   |      1.04     |
|  8   | ZINC000261494663 |    Q27686   |      1.04     |
|  9   | ZINC000085599303 |    Q27686   |      1.04     |
|  10  | ZINC000095618832 |    Q27686   |      1.04     |
|  11  | ZINC000001530621 |    Q27686   |      1.21     |
|  12  | ZINC000169677008 |    Q27686   |      1.26     |
|  13  | ZINC000254113657 |    Q27686   |      1.26     |
|  14  | ZINC000169621231 |    Q27686   |      1.26     |
|  15  | ZINC000169621230 |    Q27686   |      1.26     |
|  16  | ZINC000096006018 |    Q27686   |      1.31     |
|  17  | ZINC000253684767 |    Q27686   |      1.31     |
|  18  | ZINC000169289388 |    Q27686   |      1.31     |
|  19  | ZINC000257372319 |    Q27686   |      1.31     |
|  20  | ZINC000261494640 |    Q27686   |      1.31     |
|  21  | ZINC000169356261 |    Q27686   |      1.33     |
|  22  | ZINC000085536990 |    Q27686   |      1.33     |
|  23  | ZINC000095617678 |    Q27686   |      1.33     |
|  24  | ZINC000253496134 |    Q27686   |      1.33     |
|  25  | ZINC000206179175 |    Q27686   |      1.39     |
|  26  | ZINC000003936035 |    Q27686   |      1.41     |
|  27  | ZINC000206179363 |    Q27686   |      1.44     |
|  28  | ZINC000253687865 |    Q27686   |      1.50     |
|  29  | ZINC000299888510 |    Q27686   |      1.50     |
|  30  | ZINC000299888509 |    Q27686   |      1.50     |
|  31  | ZINC000299888511 |    Q27686   |      1.50     |
|  32  | ZINC000135669648 |    Q27686   |      1.88     |
|  33  | ZINC000299841531 |    Q27686   |      1.88     |
|  34  | ZINC000299841533 |    Q27686   |      1.88     |
|  35  | ZINC000299841532 |    Q27686   |      1.88     |
