+------+------------------+-------------+---------------+
| Rank |    Drug Name     | Target Name | Binding Score |
+------+------------------+-------------+---------------+
|  1   | ZINC000169734975 |    Q4QBL1   |      0.68     |
|  2   | ZINC000095092801 |    Q4QBL1   |      0.77     |
|  3   | ZINC000252548735 |    Q4QBL1   |      0.90     |
|  4   | ZINC000252548734 |    Q4QBL1   |      0.90     |
|  5   | ZINC000169289411 |    Q4QBL1   |      0.90     |
|  6   | ZINC000095618608 |    Q4QBL1   |      0.98     |
|  7   | ZINC000261494662 |    Q4QBL1   |      1.00     |
|  8   | ZINC000261494663 |    Q4QBL1   |      1.00     |
|  9   | ZINC000085599303 |    Q4QBL1   |      1.00     |
|  10  | ZINC000095618832 |    Q4QBL1   |      1.00     |
|  11  | ZINC000001530621 |    Q4QBL1   |      1.16     |
|  12  | ZINC000003936035 |    Q4QBL1   |      1.21     |
|  13  | ZINC000169677008 |    Q4QBL1   |      1.23     |
|  14  | ZINC000254113657 |    Q4QBL1   |      1.23     |
|  15  | ZINC000169621231 |    Q4QBL1   |      1.23     |
|  16  | ZINC000169621230 |    Q4QBL1   |      1.23     |
|  17  | ZINC000206179175 |    Q4QBL1   |      1.26     |
|  18  | ZINC000169356261 |    Q4QBL1   |      1.27     |
|  19  | ZINC000085536990 |    Q4QBL1   |      1.27     |
|  20  | ZINC000095617678 |    Q4QBL1   |      1.27     |
|  21  | ZINC000253496134 |    Q4QBL1   |      1.27     |
|  22  | ZINC000096006018 |    Q4QBL1   |      1.28     |
|  23  | ZINC000253684767 |    Q4QBL1   |      1.28     |
|  24  | ZINC000169289388 |    Q4QBL1   |      1.28     |
|  25  | ZINC000257372319 |    Q4QBL1   |      1.28     |
|  26  | ZINC000261494640 |    Q4QBL1   |      1.28     |
|  27  | ZINC000206179363 |    Q4QBL1   |      1.33     |
|  28  | ZINC000253687865 |    Q4QBL1   |      1.34     |
|  29  | ZINC000299888510 |    Q4QBL1   |      1.34     |
|  30  | ZINC000299888509 |    Q4QBL1   |      1.34     |
|  31  | ZINC000299888511 |    Q4QBL1   |      1.34     |
|  32  | ZINC000135669648 |    Q4QBL1   |      1.68     |
|  33  | ZINC000299841531 |    Q4QBL1   |      1.68     |
|  34  | ZINC000299841533 |    Q4QBL1   |      1.68     |
|  35  | ZINC000299841532 |    Q4QBL1   |      1.68     |
|  36  | ZINC000003808350 |    Q4QBL1   |      1.74     |
|  37  | ZINC000103591745 |    Q4QBL1   |      1.77     |
|  38  | ZINC000299841511 |    Q4QBL1   |      1.82     |
|  39  | ZINC000100014880 |    Q4QBL1   |      1.92     |
|  40  | ZINC000005736075 |    Q4QBL1   |      1.94     |
|  41  | ZINC000040430143 |    Q4QBL1   |      2.16     |
|  42  | ZINC000025723899 |    Q4QBL1   |      2.30     |
|  43  | ZINC000068268153 |    Q4QBL1   |      2.36     |
|  44  | ZINC000000601316 |    Q4QBL1   |      2.40     |
|  45  | ZINC000003830579 |    Q4QBL1   |      2.40     |
|  46  | ZINC000003953037 |    Q4QBL1   |      2.45     |
|  47  | ZINC000003808779 |    Q4QBL1   |      2.56     |
|  48  | ZINC000000000855 |    Q4QBL1   |      2.59     |
|  49  | ZINC000000000504 |    Q4QBL1   |      2.59     |
|  50  | ZINC000043103796 |    Q4QBL1   |      2.67     |
|  51  | ZINC000100468481 |    Q4QBL1   |      2.93     |
|  52  | ZINC000000538119 |    Q4QBL1   |      3.20     |
|  53  | ZINC000261512594 |    Q4QBL1   |      3.32     |
|  54  | ZINC000100100396 |    Q4QBL1   |      3.32     |
|  55  | ZINC000105576134 |    Q4QBL1   |      3.34     |
|  56  | ZINC000137281876 |    Q4QBL1   |      3.34     |
|  57  | ZINC000003780941 |    Q4QBL1   |      3.42     |
|  58  | ZINC000000599871 |    Q4QBL1   |      3.74     |
|  59  | ZINC000082138051 |    Q4QBL1   |      3.98     |
|  60  | ZINC000098052868 |    Q4QBL1   |      3.99     |
|  61  | ZINC000150363615 |    Q4QBL1   |      3.99     |
|  62  | ZINC000159897988 |    Q4QBL1   |      3.99     |
|  63  | ZINC000159898174 |    Q4QBL1   |      3.99     |
|  64  | ZINC000000537997 |    Q4QBL1   |      4.07     |
|  65  | ZINC000001482169 |    Q4QBL1   |      4.17     |
|  66  | ZINC000000538194 |    Q4QBL1   |      4.46     |
|  67  | ZINC000299816961 |    Q4QBL1   |      4.67     |
|  68  | ZINC000169677038 |    Q4QBL1   |      4.67     |
|  69  | ZINC000003787060 |    Q4QBL1   |      4.79     |
|  70  | ZINC000029058869 |    Q4QBL1   |      5.33     |
|  71  | ZINC000103590355 |    Q4QBL1   |      5.60     |
|  72  | ZINC000103590359 |    Q4QBL1   |      5.60     |
|  73  | ZINC000072190122 |    Q4QBL1   |      5.60     |
|  74  | ZINC000072190121 |    Q4QBL1   |      5.60     |
|  75  | ZINC000000897232 |    Q4QBL1   |      5.70     |
|  76  | ZINC000000897229 |    Q4QBL1   |      5.70     |
|  77  | ZINC000003936683 |    Q4QBL1   |      5.77     |
|  78  | ZINC000100017456 |    Q4QBL1   |      5.82     |
|  79  | ZINC000043171152 |    Q4QBL1   |      5.97     |
|  80  | ZINC000003813082 |    Q4QBL1   |      6.05     |
|  81  | ZINC000000601314 |    Q4QBL1   |      6.05     |
|  82  | ZINC000003935475 |    Q4QBL1   |      6.08     |
|  83  | ZINC000003931713 |    Q4QBL1   |      6.15     |
|  84  | ZINC000004097225 |    Q4QBL1   |      6.27     |
|  85  | ZINC000043200753 |    Q4QBL1   |      6.31     |
|  86  | ZINC000100011067 |    Q4QBL1   |      6.40     |
|  87  | ZINC000003830999 |    Q4QBL1   |      6.58     |
|  88  | ZINC000003831000 |    Q4QBL1   |      6.58     |
|  89  | ZINC000068153186 |    Q4QBL1   |      6.59     |
|  90  | ZINC000000000449 |    Q4QBL1   |      6.60     |
|  91  | ZINC000003813083 |    Q4QBL1   |      6.60     |
|  92  | ZINC000000607939 |    Q4QBL1   |      6.65     |
|  93  | ZINC000100001918 |    Q4QBL1   |      6.65     |
|  94  | ZINC000003861637 |    Q4QBL1   |      6.95     |
|  95  | ZINC000299817032 |    Q4QBL1   |      7.07     |
|  96  | ZINC000000002232 |    Q4QBL1   |      7.48     |
|  97  | ZINC000100016058 |    Q4QBL1   |      7.51     |
|  98  | ZINC000005921098 |    Q4QBL1   |      7.58     |
|  99  | ZINC000100734163 |    Q4QBL1   |      7.69     |
| 100  | ZINC000003798734 |    Q4QBL1   |      7.71     |
| 101  | ZINC000012496045 |    Q4QBL1   |      7.71     |
| 102  | ZINC000072190219 |    Q4QBL1   |      8.01     |
| 103  | ZINC000118915344 |    Q4QBL1   |      8.11     |
| 104  | ZINC000004214473 |    Q4QBL1   |      8.11     |
| 105  | ZINC000256479159 |    Q4QBL1   |      8.11     |
| 106  | ZINC000256479166 |    Q4QBL1   |      8.11     |
| 107  | ZINC000256479162 |    Q4QBL1   |      8.11     |
| 108  | ZINC000027552910 |    Q4QBL1   |      8.11     |
| 109  | ZINC000003922770 |    Q4QBL1   |      8.35     |
