+------+------------------+-------------+---------------+
| Rank |    Drug Name     | Target Name | Binding Score |
+------+------------------+-------------+---------------+
|  1   | ZINC000169734975 |    Q4QHJ8   |      0.41     |
|  2   | ZINC000095092801 |    Q4QHJ8   |      0.51     |
|  3   | ZINC000252548735 |    Q4QHJ8   |      0.55     |
|  4   | ZINC000252548734 |    Q4QHJ8   |      0.55     |
|  5   | ZINC000169289411 |    Q4QHJ8   |      0.55     |
|  6   | ZINC000095618608 |    Q4QHJ8   |      0.60     |
|  7   | ZINC000261494662 |    Q4QHJ8   |      0.61     |
|  8   | ZINC000261494663 |    Q4QHJ8   |      0.61     |
|  9   | ZINC000085599303 |    Q4QHJ8   |      0.61     |
|  10  | ZINC000095618832 |    Q4QHJ8   |      0.61     |
|  11  | ZINC000169677008 |    Q4QHJ8   |      0.77     |
|  12  | ZINC000254113657 |    Q4QHJ8   |      0.77     |
|  13  | ZINC000169621231 |    Q4QHJ8   |      0.77     |
|  14  | ZINC000169621230 |    Q4QHJ8   |      0.77     |
|  15  | ZINC000169356261 |    Q4QHJ8   |      0.77     |
|  16  | ZINC000085536990 |    Q4QHJ8   |      0.77     |
|  17  | ZINC000095617678 |    Q4QHJ8   |      0.77     |
|  18  | ZINC000253496134 |    Q4QHJ8   |      0.77     |
|  19  | ZINC000001530621 |    Q4QHJ8   |      0.79     |
|  20  | ZINC000096006018 |    Q4QHJ8   |      0.79     |
|  21  | ZINC000253684767 |    Q4QHJ8   |      0.79     |
|  22  | ZINC000169289388 |    Q4QHJ8   |      0.79     |
|  23  | ZINC000257372319 |    Q4QHJ8   |      0.79     |
|  24  | ZINC000261494640 |    Q4QHJ8   |      0.79     |
|  25  | ZINC000206179175 |    Q4QHJ8   |      0.82     |
|  26  | ZINC000206179363 |    Q4QHJ8   |      0.84     |
|  27  | ZINC000003936035 |    Q4QHJ8   |      0.85     |
|  28  | ZINC000253687865 |    Q4QHJ8   |      0.88     |
|  29  | ZINC000299888510 |    Q4QHJ8   |      0.88     |
|  30  | ZINC000299888509 |    Q4QHJ8   |      0.88     |
|  31  | ZINC000299888511 |    Q4QHJ8   |      0.88     |
|  32  | ZINC000135669648 |    Q4QHJ8   |      1.11     |
|  33  | ZINC000299841531 |    Q4QHJ8   |      1.11     |
|  34  | ZINC000299841533 |    Q4QHJ8   |      1.11     |
|  35  | ZINC000299841532 |    Q4QHJ8   |      1.11     |
|  36  | ZINC000003808350 |    Q4QHJ8   |      1.14     |
|  37  | ZINC000299841511 |    Q4QHJ8   |      1.15     |
|  38  | ZINC000103591745 |    Q4QHJ8   |      1.18     |
|  39  | ZINC000005736075 |    Q4QHJ8   |      1.29     |
|  40  | ZINC000100014880 |    Q4QHJ8   |      1.38     |
|  41  | ZINC000040430143 |    Q4QHJ8   |      1.58     |
|  42  | ZINC000025723899 |    Q4QHJ8   |      1.63     |
|  43  | ZINC000068268153 |    Q4QHJ8   |      1.68     |
|  44  | ZINC000003953037 |    Q4QHJ8   |      1.71     |
|  45  | ZINC000003808779 |    Q4QHJ8   |      1.73     |
|  46  | ZINC000000601316 |    Q4QHJ8   |      1.76     |
|  47  | ZINC000003830579 |    Q4QHJ8   |      1.76     |
|  48  | ZINC000000000855 |    Q4QHJ8   |      1.85     |
|  49  | ZINC000000000504 |    Q4QHJ8   |      1.85     |
|  50  | ZINC000043103796 |    Q4QHJ8   |      1.92     |
|  51  | ZINC000100468481 |    Q4QHJ8   |      1.97     |
|  52  | ZINC000000538119 |    Q4QHJ8   |      2.13     |
|  53  | ZINC000105576134 |    Q4QHJ8   |      2.26     |
|  54  | ZINC000137281876 |    Q4QHJ8   |      2.26     |
|  55  | ZINC000003780941 |    Q4QHJ8   |      2.27     |
|  56  | ZINC000261512594 |    Q4QHJ8   |      2.45     |
|  57  | ZINC000100100396 |    Q4QHJ8   |      2.45     |
|  58  | ZINC000000599871 |    Q4QHJ8   |      2.55     |
|  59  | ZINC000098052868 |    Q4QHJ8   |      2.59     |
|  60  | ZINC000150363615 |    Q4QHJ8   |      2.59     |
|  61  | ZINC000159897988 |    Q4QHJ8   |      2.59     |
|  62  | ZINC000159898174 |    Q4QHJ8   |      2.59     |
|  63  | ZINC000000537997 |    Q4QHJ8   |      2.72     |
|  64  | ZINC000001482169 |    Q4QHJ8   |      2.79     |
|  65  | ZINC000000538194 |    Q4QHJ8   |      2.99     |
|  66  | ZINC000299816961 |    Q4QHJ8   |      3.05     |
|  67  | ZINC000169677038 |    Q4QHJ8   |      3.05     |
|  68  | ZINC000003787060 |    Q4QHJ8   |      3.25     |
|  69  | ZINC000029058869 |    Q4QHJ8   |      3.57     |
|  70  | ZINC000000897232 |    Q4QHJ8   |      3.76     |
|  71  | ZINC000000897229 |    Q4QHJ8   |      3.76     |
|  72  | ZINC000103590355 |    Q4QHJ8   |      3.76     |
|  73  | ZINC000103590359 |    Q4QHJ8   |      3.76     |
|  74  | ZINC000072190122 |    Q4QHJ8   |      3.76     |
|  75  | ZINC000072190121 |    Q4QHJ8   |      3.76     |
|  76  | ZINC000003936683 |    Q4QHJ8   |      3.85     |
|  77  | ZINC000100017456 |    Q4QHJ8   |      3.88     |
|  78  | ZINC000003813082 |    Q4QHJ8   |      4.01     |
|  79  | ZINC000000601314 |    Q4QHJ8   |      4.01     |
