+------+------------------+-------------+---------------+
| Rank |    Drug Name     | Target Name | Binding Score |
+------+------------------+-------------+---------------+
|  1   | ZINC000169734975 |    Q6TUJ5   |      2.13     |
|  2   | ZINC000095092801 |    Q6TUJ5   |      2.58     |
|  3   | ZINC000252548735 |    Q6TUJ5   |      2.77     |
|  4   | ZINC000252548734 |    Q6TUJ5   |      2.77     |
|  5   | ZINC000169289411 |    Q6TUJ5   |      2.77     |
|  6   | ZINC000095618608 |    Q6TUJ5   |      2.97     |
|  7   | ZINC000261494662 |    Q6TUJ5   |      3.05     |
|  8   | ZINC000261494663 |    Q6TUJ5   |      3.05     |
|  9   | ZINC000085599303 |    Q6TUJ5   |      3.05     |
|  10  | ZINC000095618832 |    Q6TUJ5   |      3.05     |
|  11  | ZINC000169677008 |    Q6TUJ5   |      3.65     |
|  12  | ZINC000254113657 |    Q6TUJ5   |      3.65     |
|  13  | ZINC000169621231 |    Q6TUJ5   |      3.65     |
|  14  | ZINC000169621230 |    Q6TUJ5   |      3.65     |
|  15  | ZINC000169356261 |    Q6TUJ5   |      3.80     |
|  16  | ZINC000085536990 |    Q6TUJ5   |      3.80     |
|  17  | ZINC000095617678 |    Q6TUJ5   |      3.80     |
|  18  | ZINC000253496134 |    Q6TUJ5   |      3.80     |
|  19  | ZINC000096006018 |    Q6TUJ5   |      3.89     |
|  20  | ZINC000253684767 |    Q6TUJ5   |      3.89     |
|  21  | ZINC000169289388 |    Q6TUJ5   |      3.89     |
|  22  | ZINC000257372319 |    Q6TUJ5   |      3.89     |
|  23  | ZINC000261494640 |    Q6TUJ5   |      3.89     |
|  24  | ZINC000206179175 |    Q6TUJ5   |      5.22     |
|  25  | ZINC000003936035 |    Q6TUJ5   |      5.29     |
|  26  | ZINC000206179363 |    Q6TUJ5   |      5.40     |
|  27  | ZINC000001530621 |    Q6TUJ5   |      5.88     |
|  28  | ZINC000253687865 |    Q6TUJ5   |      6.21     |
|  29  | ZINC000299888510 |    Q6TUJ5   |      6.21     |
|  30  | ZINC000299888509 |    Q6TUJ5   |      6.21     |
|  31  | ZINC000299888511 |    Q6TUJ5   |      6.21     |
|  32  | ZINC000082138051 |    Q6TUJ5   |      8.74     |
|  33  | ZINC000299841511 |    Q6TUJ5   |      8.79     |
|  34  | ZINC000003808350 |    Q6TUJ5   |      8.79     |
|  35  | ZINC000103591745 |    Q6TUJ5   |      8.88     |
|  36  | ZINC000135669648 |    Q6TUJ5   |      9.19     |
|  37  | ZINC000299841531 |    Q6TUJ5   |      9.19     |
|  38  | ZINC000299841533 |    Q6TUJ5   |      9.19     |
|  39  | ZINC000299841532 |    Q6TUJ5   |      9.19     |
|  40  | ZINC000005736075 |    Q6TUJ5   |     10.06     |
|  41  | ZINC000100014880 |    Q6TUJ5   |     11.00     |
|  42  | ZINC000040430143 |    Q6TUJ5   |     12.34     |
|  43  | ZINC000000601316 |    Q6TUJ5   |     13.22     |
|  44  | ZINC000003830579 |    Q6TUJ5   |     13.22     |
|  45  | ZINC000025723899 |    Q6TUJ5   |     14.75     |
|  46  | ZINC000003808779 |    Q6TUJ5   |     15.19     |
|  47  | ZINC000068268153 |    Q6TUJ5   |     15.61     |
|  48  | ZINC000043103796 |    Q6TUJ5   |     16.34     |
|  49  | ZINC000000000855 |    Q6TUJ5   |     16.84     |
|  50  | ZINC000000000504 |    Q6TUJ5   |     16.84     |
|  51  | ZINC000100468481 |    Q6TUJ5   |     17.15     |
|  52  | ZINC000003953037 |    Q6TUJ5   |     19.05     |
|  53  | ZINC000000538119 |    Q6TUJ5   |     19.57     |
|  54  | ZINC000105576134 |    Q6TUJ5   |     19.75     |
|  55  | ZINC000137281876 |    Q6TUJ5   |     19.75     |
|  56  | ZINC000003780941 |    Q6TUJ5   |     20.99     |
|  57  | ZINC000001482169 |    Q6TUJ5   |     23.83     |
|  58  | ZINC000000537997 |    Q6TUJ5   |     24.12     |
|  59  | ZINC000000538194 |    Q6TUJ5   |     25.89     |
|  60  | ZINC000261512594 |    Q6TUJ5   |     27.14     |
|  61  | ZINC000100100396 |    Q6TUJ5   |     27.14     |
|  62  | ZINC000003787060 |    Q6TUJ5   |     27.57     |
|  63  | ZINC000299816961 |    Q6TUJ5   |     28.09     |
|  64  | ZINC000169677038 |    Q6TUJ5   |     28.09     |
|  65  | ZINC000098052868 |    Q6TUJ5   |     29.03     |
|  66  | ZINC000150363615 |    Q6TUJ5   |     29.03     |
|  67  | ZINC000159897988 |    Q6TUJ5   |     29.03     |
|  68  | ZINC000159898174 |    Q6TUJ5   |     29.03     |
|  69  | ZINC000000599871 |    Q6TUJ5   |     31.06     |
|  70  | ZINC000103590355 |    Q6TUJ5   |     31.29     |
|  71  | ZINC000103590359 |    Q6TUJ5   |     31.29     |
|  72  | ZINC000072190122 |    Q6TUJ5   |     31.29     |
|  73  | ZINC000072190121 |    Q6TUJ5   |     31.29     |
|  74  | ZINC000003813082 |    Q6TUJ5   |     31.83     |
|  75  | ZINC000000601314 |    Q6TUJ5   |     31.83     |
|  76  | ZINC000029058869 |    Q6TUJ5   |     32.60     |
|  77  | ZINC000004097225 |    Q6TUJ5   |     33.57     |
|  78  | ZINC000003931713 |    Q6TUJ5   |     33.71     |
|  79  | ZINC000043171152 |    Q6TUJ5   |     33.76     |
|  80  | ZINC000000000449 |    Q6TUJ5   |     34.09     |
|  81  | ZINC000003813083 |    Q6TUJ5   |     34.09     |
|  82  | ZINC000100011067 |    Q6TUJ5   |     34.22     |
|  83  | ZINC000043200753 |    Q6TUJ5   |     34.24     |
|  84  | ZINC000000607939 |    Q6TUJ5   |     34.75     |
|  85  | ZINC000100001918 |    Q6TUJ5   |     34.75     |
|  86  | ZINC000100017456 |    Q6TUJ5   |     35.53     |
|  87  | ZINC000003935475 |    Q6TUJ5   |     37.10     |
|  88  | ZINC000299817032 |    Q6TUJ5   |     37.76     |
|  89  | ZINC000100016058 |    Q6TUJ5   |     39.24     |
|  90  | ZINC000100734163 |    Q6TUJ5   |     39.76     |
|  91  | ZINC000000897232 |    Q6TUJ5   |     40.63     |
|  92  | ZINC000000897229 |    Q6TUJ5   |     40.63     |
|  93  | ZINC000003936683 |    Q6TUJ5   |     40.79     |
|  94  | ZINC000003798734 |    Q6TUJ5   |     41.62     |
|  95  | ZINC000012496045 |    Q6TUJ5   |     41.62     |
|  96  | ZINC000118915344 |    Q6TUJ5   |     41.67     |
|  97  | ZINC000004214473 |    Q6TUJ5   |     41.67     |
|  98  | ZINC000256479159 |    Q6TUJ5   |     41.67     |
|  99  | ZINC000256479166 |    Q6TUJ5   |     41.67     |
| 100  | ZINC000256479162 |    Q6TUJ5   |     41.67     |
| 101  | ZINC000027552910 |    Q6TUJ5   |     41.67     |
| 102  | ZINC000068153186 |    Q6TUJ5   |     42.65     |
| 103  | ZINC000004214603 |    Q6TUJ5   |     42.70     |
| 104  | ZINC000003922770 |    Q6TUJ5   |     42.73     |
| 105  | ZINC000003990364 |    Q6TUJ5   |     44.14     |
| 106  | ZINC000256072841 |    Q6TUJ5   |     44.34     |
| 107  | ZINC000256072846 |    Q6TUJ5   |     44.34     |
| 108  | ZINC000256072844 |    Q6TUJ5   |     44.34     |
| 109  | ZINC000034176696 |    Q6TUJ5   |     44.34     |
| 110  | ZINC000003920028 |    Q6TUJ5   |     44.34     |
| 111  | ZINC000072481720 |    Q6TUJ5   |     44.34     |
| 112  | ZINC000149738712 |    Q6TUJ5   |     44.36     |
| 113  | ZINC000000002232 |    Q6TUJ5   |     45.44     |
| 114  | ZINC000072190219 |    Q6TUJ5   |     46.69     |
| 115  | ZINC000003830999 |    Q6TUJ5   |     49.47     |
| 116  | ZINC000003831000 |    Q6TUJ5   |     49.47     |
| 117  | ZINC000005921098 |    Q6TUJ5   |     49.60     |
| 118  | ZINC000013648755 |    Q6TUJ5   |     50.51     |
| 119  | ZINC000100037885 |    Q6TUJ5   |     50.51     |
| 120  | ZINC000100037890 |    Q6TUJ5   |     50.51     |
| 121  | ZINC000100054890 |    Q6TUJ5   |     50.56     |
| 122  | ZINC000100054893 |    Q6TUJ5   |     50.56     |
| 123  | ZINC000095618855 |    Q6TUJ5   |     50.56     |
| 124  | ZINC000005751767 |    Q6TUJ5   |     52.05     |
| 125  | ZINC000095627836 |    Q6TUJ5   |     52.89     |
| 126  | ZINC000000006157 |    Q6TUJ5   |     54.33     |
| 127  | ZINC000001999487 |    Q6TUJ5   |     54.33     |
| 128  | ZINC000000002176 |    Q6TUJ5   |     55.75     |
| 129  | ZINC000000403609 |    Q6TUJ5   |     55.75     |
| 130  | ZINC000003861637 |    Q6TUJ5   |     56.20     |
| 131  | ZINC000014210457 |    Q6TUJ5   |     56.63     |
| 132  | ZINC000014210455 |    Q6TUJ5   |     56.63     |
| 133  | ZINC000004074875 |    Q6TUJ5   |     58.59     |
| 134  | ZINC000004097427 |    Q6TUJ5   |     58.59     |
| 135  | ZINC000936069425 |    Q6TUJ5   |     58.66     |
| 136  | ZINC000003830916 |    Q6TUJ5   |     59.31     |
| 137  | ZINC000003810905 |    Q6TUJ5   |     60.94     |
| 138  | ZINC000043211394 |    Q6TUJ5   |     61.32     |
| 139  | ZINC000043211396 |    Q6TUJ5   |     61.32     |
| 140  | ZINC000095561192 |    Q6TUJ5   |     62.38     |
| 141  | ZINC000077301904 |    Q6TUJ5   |     62.50     |
| 142  | ZINC000003830842 |    Q6TUJ5   |     64.94     |
| 143  | ZINC000000896543 |    Q6TUJ5   |     64.94     |
| 144  | ZINC000030691750 |    Q6TUJ5   |     64.95     |
| 145  | ZINC000002530707 |    Q6TUJ5   |     65.33     |
| 146  | ZINC000004245650 |    Q6TUJ5   |     65.86     |
| 147  | ZINC000084610155 |    Q6TUJ5   |     66.09     |
| 148  | ZINC000008552018 |    Q6TUJ5   |     67.45     |
| 149  | ZINC000003974496 |    Q6TUJ5   |     67.68     |
| 150  | ZINC000003959242 |    Q6TUJ5   |     68.92     |
| 151  | ZINC000000597260 |    Q6TUJ5   |     69.06     |
| 152  | ZINC000022064534 |    Q6TUJ5   |     69.06     |
| 153  | ZINC000008552017 |    Q6TUJ5   |     69.75     |
| 154  | ZINC000040939374 |    Q6TUJ5   |     69.76     |
| 155  | ZINC000000119434 |    Q6TUJ5   |     70.54     |
| 156  | ZINC000100057533 |    Q6TUJ5   |     70.54     |
| 157  | ZINC000096273105 |    Q6TUJ5   |     71.35     |
| 158  | ZINC000100018854 |    Q6TUJ5   |     71.90     |
| 159  | ZINC000100018852 |    Q6TUJ5   |     71.90     |
| 160  | ZINC000000896557 |    Q6TUJ5   |     71.90     |
| 161  | ZINC000000896560 |    Q6TUJ5   |     71.90     |
| 162  | ZINC000000000347 |    Q6TUJ5   |     71.90     |
| 163  | ZINC000006092086 |    Q6TUJ5   |     72.14     |
| 164  | ZINC000006092087 |    Q6TUJ5   |     72.14     |
| 165  | ZINC000028536264 |    Q6TUJ5   |     73.73     |
| 166  | ZINC000072190160 |    Q6TUJ5   |     73.75     |
| 167  | ZINC000072190159 |    Q6TUJ5   |     73.75     |
| 168  | ZINC000072190161 |    Q6TUJ5   |     73.75     |
| 169  | ZINC000072190158 |    Q6TUJ5   |     73.75     |
| 170  | ZINC000205341959 |    Q6TUJ5   |     74.12     |
| 171  | ZINC000103588732 |    Q6TUJ5   |     74.69     |
| 172  | ZINC000102215424 |    Q6TUJ5   |     74.69     |
| 173  | ZINC000100285161 |    Q6TUJ5   |     74.91     |
| 174  | ZINC000084726167 |    Q6TUJ5   |     75.23     |
| 175  | ZINC000072316335 |    Q6TUJ5   |     75.34     |
| 176  | ZINC000006716826 |    Q6TUJ5   |     75.81     |
| 177  | ZINC000000833553 |    Q6TUJ5   |     77.36     |
| 178  | ZINC000005752185 |    Q6TUJ5   |     78.39     |
| 179  | ZINC000038811386 |    Q6TUJ5   |     78.58     |
| 180  | ZINC000038811387 |    Q6TUJ5   |     78.58     |
| 181  | ZINC000003927605 |    Q6TUJ5   |     79.09     |
| 182  | ZINC000064559600 |    Q6TUJ5   |     79.09     |
| 183  | ZINC000035997754 |    Q6TUJ5   |     79.09     |
| 184  | ZINC000049937658 |    Q6TUJ5   |     79.54     |
| 185  | ZINC000053261548 |    Q6TUJ5   |     79.54     |
| 186  | ZINC000001536106 |    Q6TUJ5   |     80.24     |
| 187  | ZINC000150338699 |    Q6TUJ5   |     80.52     |
| 188  | ZINC000000003897 |    Q6TUJ5   |     80.64     |
| 189  | ZINC000003830994 |    Q6TUJ5   |     80.89     |
| 190  | ZINC000003830993 |    Q6TUJ5   |     80.89     |
| 191  | ZINC000013492899 |    Q6TUJ5   |     82.24     |
| 192  | ZINC000003828536 |    Q6TUJ5   |     82.33     |
| 193  | ZINC000003925649 |    Q6TUJ5   |     82.83     |
| 194  | ZINC000003920027 |    Q6TUJ5   |     83.43     |
| 195  | ZINC000038141706 |    Q6TUJ5   |     83.73     |
| 196  | ZINC000038141705 |    Q6TUJ5   |     83.73     |
| 197  | ZINC000936069565 |    Q6TUJ5   |     83.89     |
| 198  | ZINC000164528615 |    Q6TUJ5   |     83.89     |
| 199  | ZINC000003929508 |    Q6TUJ5   |     84.25     |
| 200  | ZINC000000897240 |    Q6TUJ5   |     84.51     |
| 201  | ZINC000000601229 |    Q6TUJ5   |     84.51     |
| 202  | ZINC000000005298 |    Q6TUJ5   |     85.27     |
| 203  | ZINC000000015515 |    Q6TUJ5   |     85.27     |
| 204  | ZINC000000001898 |    Q6TUJ5   |     85.86     |
| 205  | ZINC000138562667 |    Q6TUJ5   |     86.79     |
| 206  | ZINC000003992480 |    Q6TUJ5   |     87.26     |
| 207  | ZINC000072267010 |    Q6TUJ5   |     87.46     |
| 208  | ZINC000095618739 |    Q6TUJ5   |     87.79     |
| 209  | ZINC000095618740 |    Q6TUJ5   |     87.79     |
| 210  | ZINC000003814360 |    Q6TUJ5   |     89.31     |
| 211  | ZINC000044305871 |    Q6TUJ5   |     89.48     |
| 212  | ZINC000000968310 |    Q6TUJ5   |     89.66     |
| 213  | ZINC000000000509 |    Q6TUJ5   |     89.66     |
| 214  | ZINC000003831996 |    Q6TUJ5   |     89.68     |
| 215  | ZINC000004097440 |    Q6TUJ5   |     89.81     |
| 216  | ZINC000012503162 |    Q6TUJ5   |     89.81     |
| 217  | ZINC000685933068 |    Q6TUJ5   |     90.33     |
| 218  | ZINC000000006170 |    Q6TUJ5   |     91.10     |
| 219  | ZINC000019632718 |    Q6TUJ5   |     91.82     |
| 220  | ZINC000019632713 |    Q6TUJ5   |     91.82     |
| 221  | ZINC000001533058 |    Q6TUJ5   |     92.96     |
| 222  | ZINC000014974583 |    Q6TUJ5   |     93.62     |
| 223  | ZINC000100378061 |    Q6TUJ5   |     95.03     |
| 224  | ZINC000014192433 |    Q6TUJ5   |     96.10     |
| 225  | ZINC000003983936 |    Q6TUJ5   |     96.20     |
| 226  | ZINC000005752191 |    Q6TUJ5   |     96.20     |
| 227  | ZINC000058660990 |    Q6TUJ5   |     96.45     |
| 228  | ZINC000000602917 |    Q6TUJ5   |     96.69     |
| 229  | ZINC000000005994 |    Q6TUJ5   |     97.95     |
| 230  | ZINC000084403367 |    Q6TUJ5   |     98.09     |
| 231  | ZINC000100001908 |    Q6TUJ5   |     98.09     |
| 232  | ZINC000137847451 |    Q6TUJ5   |     100.15    |
| 233  | ZINC000021981258 |    Q6TUJ5   |     100.28    |
| 234  | ZINC000021981256 |    Q6TUJ5   |     100.28    |
| 235  | ZINC000035801098 |    Q6TUJ5   |     100.45    |
| 236  | ZINC000033948956 |    Q6TUJ5   |     101.27    |
| 237  | ZINC000095618655 |    Q6TUJ5   |     101.28    |
| 238  | ZINC000095618656 |    Q6TUJ5   |     101.28    |
| 239  | ZINC000003830820 |    Q6TUJ5   |     101.79    |
| 240  | ZINC000030691420 |    Q6TUJ5   |     102.33    |
| 241  | ZINC000072284064 |    Q6TUJ5   |     102.51    |
| 242  | ZINC000072284069 |    Q6TUJ5   |     102.51    |
| 243  | ZINC000072284071 |    Q6TUJ5   |     102.51    |
| 244  | ZINC000072284066 |    Q6TUJ5   |     102.51    |
| 245  | ZINC000145424989 |    Q6TUJ5   |     103.23    |
| 246  | ZINC000021981254 |    Q6TUJ5   |     103.52    |
| 247  | ZINC000021981252 |    Q6TUJ5   |     103.52    |
| 248  | ZINC000033972864 |    Q6TUJ5   |     103.61    |
| 249  | ZINC000000008767 |    Q6TUJ5   |     104.49    |
| 250  | ZINC000008214420 |    Q6TUJ5   |     105.48    |
| 251  | ZINC000001853550 |    Q6TUJ5   |     105.61    |
| 252  | ZINC000251257402 |    Q6TUJ5   |     107.02    |
| 253  | ZINC000000898188 |    Q6TUJ5   |     107.02    |
| 254  | ZINC000014880007 |    Q6TUJ5   |     107.02    |
| 255  | ZINC000008220548 |    Q6TUJ5   |     107.02    |
| 256  | ZINC000261515676 |    Q6TUJ5   |     107.02    |
| 257  | ZINC000253387331 |    Q6TUJ5   |     107.02    |
| 258  | ZINC000106400715 |    Q6TUJ5   |     107.02    |
| 259  | ZINC000063539231 |    Q6TUJ5   |     107.03    |
| 260  | ZINC000100016084 |    Q6TUJ5   |     108.01    |
| 261  | ZINC000012503068 |    Q6TUJ5   |     108.01    |
| 262  | ZINC000100018594 |    Q6TUJ5   |     108.01    |
| 263  | ZINC000100018598 |    Q6TUJ5   |     108.01    |
| 264  | ZINC000100371992 |    Q6TUJ5   |     108.01    |
| 265  | ZINC000034984673 |    Q6TUJ5   |     108.73    |
| 266  | ZINC000026892643 |    Q6TUJ5   |     110.04    |
| 267  | ZINC000025757754 |    Q6TUJ5   |     110.65    |
| 268  | ZINC000000001395 |    Q6TUJ5   |     111.61    |
| 269  | ZINC000001997240 |    Q6TUJ5   |     111.61    |
| 270  | ZINC000014299682 |    Q6TUJ5   |     112.13    |
| 271  | ZINC000138930200 |    Q6TUJ5   |     112.82    |
| 272  | ZINC000022064224 |    Q6TUJ5   |     113.72    |
| 273  | ZINC000248022807 |    Q6TUJ5   |     113.72    |
| 274  | ZINC000248022822 |    Q6TUJ5   |     113.72    |
| 275  | ZINC000248022819 |    Q6TUJ5   |     113.72    |
| 276  | ZINC000248022825 |    Q6TUJ5   |     113.72    |
| 277  | ZINC000022064220 |    Q6TUJ5   |     113.72    |
| 278  | ZINC000026976815 |    Q6TUJ5   |     114.46    |
| 279  | ZINC000198970879 |    Q6TUJ5   |     115.22    |
| 280  | ZINC000003826691 |    Q6TUJ5   |     115.44    |
| 281  | ZINC000000968338 |    Q6TUJ5   |     116.36    |
| 282  | ZINC000000968340 |    Q6TUJ5   |     116.36    |
| 283  | ZINC000003918453 |    Q6TUJ5   |     117.55    |
| 284  | ZINC000037866089 |    Q6TUJ5   |     117.87    |
| 285  | ZINC000019701765 |    Q6TUJ5   |     118.41    |
| 286  | ZINC000004097307 |    Q6TUJ5   |     119.12    |
| 287  | ZINC000100031333 |    Q6TUJ5   |     119.23    |
| 288  | ZINC000022001248 |    Q6TUJ5   |     119.23    |
| 289  | ZINC000022065943 |    Q6TUJ5   |     120.28    |
| 290  | ZINC000022065946 |    Q6TUJ5   |     120.28    |
| 291  | ZINC000021981454 |    Q6TUJ5   |     121.15    |
| 292  | ZINC000021992076 |    Q6TUJ5   |     121.25    |
| 293  | ZINC000008143796 |    Q6TUJ5   |     121.71    |
| 294  | ZINC000003831582 |    Q6TUJ5   |     123.57    |
| 295  | ZINC000003831581 |    Q6TUJ5   |     123.57    |
| 296  | ZINC000003831584 |    Q6TUJ5   |     123.57    |
| 297  | ZINC000100308851 |    Q6TUJ5   |     123.57    |
| 298  | ZINC000100308855 |    Q6TUJ5   |     123.57    |
| 299  | ZINC000100308860 |    Q6TUJ5   |     123.57    |
| 300  | ZINC000003831583 |    Q6TUJ5   |     123.57    |
