+------+------------------+-------------+---------------+
| Rank |    Drug Name     | Target Name | Binding Score |
+------+------------------+-------------+---------------+
|  1   | ZINC000001530621 |    O15826   |      0.28     |
|  2   | ZINC000252548735 |    O15826   |      0.40     |
|  3   | ZINC000252548734 |    O15826   |      0.40     |
|  4   | ZINC000169289411 |    O15826   |      0.40     |
|  5   | ZINC000095618608 |    O15826   |      0.43     |
|  6   | ZINC000261494662 |    O15826   |      0.44     |
|  7   | ZINC000261494663 |    O15826   |      0.44     |
|  8   | ZINC000085599303 |    O15826   |      0.44     |
|  9   | ZINC000095618832 |    O15826   |      0.44     |
|  10  | ZINC000003830999 |    O15826   |      0.45     |
|  11  | ZINC000169356261 |    O15826   |      0.55     |
|  12  | ZINC000085536990 |    O15826   |      0.55     |
|  13  | ZINC000095617678 |    O15826   |      0.55     |
|  14  | ZINC000253496134 |    O15826   |      0.55     |
|  15  | ZINC000169677008 |    O15826   |      0.58     |
|  16  | ZINC000254113657 |    O15826   |      0.58     |
|  17  | ZINC000169621231 |    O15826   |      0.58     |
|  18  | ZINC000169621230 |    O15826   |      0.58     |
|  19  | ZINC000096006018 |    O15826   |      0.59     |
|  20  | ZINC000253684767 |    O15826   |      0.59     |
|  21  | ZINC000169289388 |    O15826   |      0.59     |
|  22  | ZINC000257372319 |    O15826   |      0.59     |
|  23  | ZINC000261494640 |    O15826   |      0.59     |
|  24  | ZINC000003953037 |    O15826   |      0.61     |
|  25  | ZINC000003830994 |    O15826   |      0.67     |
|  26  | ZINC000003830993 |    O15826   |      0.67     |
|  27  | ZINC000100014880 |    O15826   |      0.69     |
|  28  | ZINC000040430143 |    O15826   |      0.69     |
|  29  | ZINC000000000855 |    O15826   |      0.73     |
|  30  | ZINC000000000504 |    O15826   |      0.73     |
|  31  | ZINC000000601316 |    O15826   |      0.84     |
|  32  | ZINC000003830579 |    O15826   |      0.84     |
|  33  | ZINC000000001898 |    O15826   |      0.85     |
|  34  | ZINC000005736075 |    O15826   |      0.91     |
|  35  | ZINC000000002232 |    O15826   |      0.92     |
|  36  | ZINC000001482169 |    O15826   |      0.96     |
|  37  | ZINC000003936683 |    O15826   |      1.02     |
|  38  | ZINC000000897232 |    O15826   |      1.06     |
|  39  | ZINC000000897229 |    O15826   |      1.06     |
|  40  | ZINC000000002176 |    O15826   |      1.08     |
|  41  | ZINC000000403609 |    O15826   |      1.08     |
|  42  | ZINC000003808779 |    O15826   |      1.12     |
|  43  | ZINC000072316335 |    O15826   |      1.18     |
|  44  | ZINC000100017456 |    O15826   |      1.25     |
|  45  | ZINC000004097225 |    O15826   |      1.31     |
|  46  | ZINC000100011067 |    O15826   |      1.31     |
|  47  | ZINC000003798734 |    O15826   |      1.33     |
|  48  | ZINC000012496045 |    O15826   |      1.33     |
|  49  | ZINC000000006157 |    O15826   |      1.34     |
|  50  | ZINC000001999487 |    O15826   |      1.34     |
|  51  | ZINC000068153186 |    O15826   |      1.34     |
|  52  | ZINC000013520815 |    O15826   |      1.34     |
|  53  | ZINC000003830916 |    O15826   |      1.43     |
|  54  | ZINC000118915336 |    O15826   |      1.46     |
|  55  | ZINC000118915337 |    O15826   |      1.46     |
|  56  | ZINC000118915338 |    O15826   |      1.46     |
|  57  | ZINC000118915339 |    O15826   |      1.46     |
