+------+------------------+-------------+---------------+
| Rank |    Drug Name     | Target Name | Binding Score |
+------+------------------+-------------+---------------+
|  1   | ZINC000252548735 |    P48499   |      3.44     |
|  2   | ZINC000252548734 |    P48499   |      3.44     |
|  3   | ZINC000169289411 |    P48499   |      3.44     |
|  4   | ZINC000095618608 |    P48499   |      3.71     |
|  5   | ZINC000261494662 |    P48499   |      3.79     |
|  6   | ZINC000261494663 |    P48499   |      3.79     |
|  7   | ZINC000085599303 |    P48499   |      3.79     |
|  8   | ZINC000095618832 |    P48499   |      3.79     |
|  9   | ZINC000169677008 |    P48499   |      5.00     |
|  10  | ZINC000254113657 |    P48499   |      5.00     |
|  11  | ZINC000169621231 |    P48499   |      5.00     |
|  12  | ZINC000169621230 |    P48499   |      5.00     |
|  13  | ZINC000001530621 |    P48499   |      5.08     |
|  14  | ZINC000096006018 |    P48499   |      5.24     |
|  15  | ZINC000253684767 |    P48499   |      5.24     |
|  16  | ZINC000169289388 |    P48499   |      5.24     |
|  17  | ZINC000257372319 |    P48499   |      5.24     |
|  18  | ZINC000261494640 |    P48499   |      5.24     |
|  19  | ZINC000169356261 |    P48499   |      5.35     |
|  20  | ZINC000085536990 |    P48499   |      5.35     |
|  21  | ZINC000095617678 |    P48499   |      5.35     |
|  22  | ZINC000253496134 |    P48499   |      5.35     |
|  23  | ZINC000005736075 |    P48499   |     10.52     |
|  24  | ZINC000100014880 |    P48499   |     11.60     |
|  25  | ZINC000040430143 |    P48499   |     12.94     |
|  26  | ZINC000000601316 |    P48499   |     13.77     |
|  27  | ZINC000003830579 |    P48499   |     13.77     |
|  28  | ZINC000003808779 |    P48499   |     15.94     |
|  29  | ZINC000003953037 |    P48499   |     16.14     |
|  30  | ZINC000000000855 |    P48499   |     16.51     |
|  31  | ZINC000000000504 |    P48499   |     16.51     |
|  32  | ZINC000001482169 |    P48499   |     25.09     |
|  33  | ZINC000003787060 |    P48499   |     29.30     |
|  34  | ZINC000003813082 |    P48499   |     33.49     |
|  35  | ZINC000000601314 |    P48499   |     33.49     |
|  36  | ZINC000100017456 |    P48499   |     34.23     |
|  37  | ZINC000000897232 |    P48499   |     35.27     |
