+------+------------------+-------------+---------------+
| Rank |    Drug Name     | Target Name | Binding Score |
+------+------------------+-------------+---------------+
|  1   | ZINC000252548735 |    Q27686   |      0.94     |
|  2   | ZINC000252548734 |    Q27686   |      0.94     |
|  3   | ZINC000169289411 |    Q27686   |      0.94     |
|  4   | ZINC000095618608 |    Q27686   |      1.02     |
|  5   | ZINC000261494662 |    Q27686   |      1.04     |
|  6   | ZINC000261494663 |    Q27686   |      1.04     |
|  7   | ZINC000085599303 |    Q27686   |      1.04     |
|  8   | ZINC000095618832 |    Q27686   |      1.04     |
|  9   | ZINC000001530621 |    Q27686   |      1.21     |
|  10  | ZINC000169677008 |    Q27686   |      1.26     |
|  11  | ZINC000254113657 |    Q27686   |      1.26     |
|  12  | ZINC000169621231 |    Q27686   |      1.26     |
|  13  | ZINC000169621230 |    Q27686   |      1.26     |
|  14  | ZINC000096006018 |    Q27686   |      1.31     |
|  15  | ZINC000253684767 |    Q27686   |      1.31     |
|  16  | ZINC000169289388 |    Q27686   |      1.31     |
|  17  | ZINC000257372319 |    Q27686   |      1.31     |
|  18  | ZINC000261494640 |    Q27686   |      1.31     |
|  19  | ZINC000169356261 |    Q27686   |      1.33     |
|  20  | ZINC000085536990 |    Q27686   |      1.33     |
|  21  | ZINC000095617678 |    Q27686   |      1.33     |
|  22  | ZINC000253496134 |    Q27686   |      1.33     |
|  23  | ZINC000005736075 |    Q27686   |      2.16     |
|  24  | ZINC000100014880 |    Q27686   |      2.31     |
|  25  | ZINC000040430143 |    Q27686   |      2.61     |
|  26  | ZINC000000601316 |    Q27686   |      2.85     |
|  27  | ZINC000003830579 |    Q27686   |      2.85     |
|  28  | ZINC000003953037 |    Q27686   |      3.00     |
|  29  | ZINC000003808779 |    Q27686   |      3.13     |
|  30  | ZINC000000000855 |    Q27686   |      3.19     |
|  31  | ZINC000000000504 |    Q27686   |      3.19     |
|  32  | ZINC000001482169 |    Q27686   |      5.46     |
|  33  | ZINC000003787060 |    Q27686   |      6.35     |
|  34  | ZINC000003936683 |    Q27686   |      7.50     |
|  35  | ZINC000100017456 |    Q27686   |      7.60     |
|  36  | ZINC000000897232 |    Q27686   |      7.63     |
|  37  | ZINC000000897229 |    Q27686   |      7.63     |
|  38  | ZINC000003813082 |    Q27686   |      7.71     |
|  39  | ZINC000000601314 |    Q27686   |      7.71     |
|  40  | ZINC000100011067 |    Q27686   |      8.30     |
|  41  | ZINC000004097225 |    Q27686   |      8.34     |
|  42  | ZINC000000000449 |    Q27686   |      8.39     |
|  43  | ZINC000003813083 |    Q27686   |      8.39     |
|  44  | ZINC000068153186 |    Q27686   |      8.55     |
|  45  | ZINC000000607939 |    Q27686   |      8.80     |
|  46  | ZINC000100001918 |    Q27686   |      8.80     |
|  47  | ZINC000003830999 |    Q27686   |      9.16     |
|  48  | ZINC000299817032 |    Q27686   |      9.21     |
|  49  | ZINC000000002232 |    Q27686   |      9.69     |
|  50  | ZINC000100016058 |    Q27686   |      9.95     |
|  51  | ZINC000100734163 |    Q27686   |      9.97     |
|  52  | ZINC000003798734 |    Q27686   |     10.06     |
|  53  | ZINC000012496045 |    Q27686   |     10.06     |
|  54  | ZINC000118915344 |    Q27686   |     10.80     |
|  55  | ZINC000004214473 |    Q27686   |     10.80     |
|  56  | ZINC000256479159 |    Q27686   |     10.80     |
|  57  | ZINC000256479166 |    Q27686   |     10.80     |
|  58  | ZINC000256479162 |    Q27686   |     10.80     |
|  59  | ZINC000027552910 |    Q27686   |     10.80     |
|  60  | ZINC000000006157 |    Q27686   |     11.02     |
|  61  | ZINC000001999487 |    Q27686   |     11.02     |
|  62  | ZINC000003922770 |    Q27686   |     11.13     |
|  63  | ZINC000004214603 |    Q27686   |     11.24     |
|  64  | ZINC000256072841 |    Q27686   |     11.24     |
|  65  | ZINC000256072846 |    Q27686   |     11.24     |
|  66  | ZINC000256072844 |    Q27686   |     11.24     |
|  67  | ZINC000034176696 |    Q27686   |     11.24     |
|  68  | ZINC000003920028 |    Q27686   |     11.24     |
|  69  | ZINC000072481720 |    Q27686   |     11.24     |
|  70  | ZINC000000002176 |    Q27686   |     11.85     |
|  71  | ZINC000000403609 |    Q27686   |     11.85     |
|  72  | ZINC000003830916 |    Q27686   |     12.15     |
|  73  | ZINC000100054890 |    Q27686   |     12.87     |
|  74  | ZINC000100054893 |    Q27686   |     12.87     |
|  75  | ZINC000095618855 |    Q27686   |     12.87     |
|  76  | ZINC000013648755 |    Q27686   |     13.38     |
|  77  | ZINC000100037885 |    Q27686   |     13.38     |
|  78  | ZINC000100037890 |    Q27686   |     13.38     |
|  79  | ZINC000008552018 |    Q27686   |     13.70     |
|  80  | ZINC000004245650 |    Q27686   |     13.79     |
|  81  | ZINC000004074875 |    Q27686   |     14.24     |
|  82  | ZINC000004097427 |    Q27686   |     14.24     |
|  83  | ZINC000014210457 |    Q27686   |     14.92     |
|  84  | ZINC000014210455 |    Q27686   |     14.92     |
|  85  | ZINC000936069425 |    Q27686   |     14.98     |
|  86  | ZINC000100018854 |    Q27686   |     15.57     |
|  87  | ZINC000100018852 |    Q27686   |     15.57     |
|  88  | ZINC000000896557 |    Q27686   |     15.57     |
|  89  | ZINC000000896560 |    Q27686   |     15.57     |
|  90  | ZINC000000000347 |    Q27686   |     15.57     |
|  91  | ZINC000008552017 |    Q27686   |     15.61     |
|  92  | ZINC000028536264 |    Q27686   |     15.69     |
|  93  | ZINC000072316335 |    Q27686   |     15.71     |
|  94  | ZINC000003830994 |    Q27686   |     16.86     |
|  95  | ZINC000003830993 |    Q27686   |     16.86     |
|  96  | ZINC000077301904 |    Q27686   |     17.35     |
|  97  | ZINC000005752185 |    Q27686   |     17.55     |
|  98  | ZINC000003830842 |    Q27686   |     18.71     |
|  99  | ZINC000000896543 |    Q27686   |     18.71     |
| 100  | ZINC000000897240 |    Q27686   |     20.42     |
| 101  | ZINC000000601229 |    Q27686   |     20.42     |
| 102  | ZINC000000001898 |    Q27686   |     20.45     |
| 103  | ZINC000000597260 |    Q27686   |     20.66     |
| 104  | ZINC000022064534 |    Q27686   |     20.66     |
| 105  | ZINC000003959242 |    Q27686   |     20.91     |
| 106  | ZINC000006092086 |    Q27686   |     21.46     |
| 107  | ZINC000006092087 |    Q27686   |     21.46     |
| 108  | ZINC000000119434 |    Q27686   |     21.58     |
| 109  | ZINC000100057533 |    Q27686   |     21.58     |
| 110  | ZINC000000968310 |    Q27686   |     23.78     |
| 111  | ZINC000000000509 |    Q27686   |     23.78     |
| 112  | ZINC000003814360 |    Q27686   |     24.79     |
| 113  | ZINC000019632718 |    Q27686   |     24.80     |
| 114  | ZINC000019632713 |    Q27686   |     24.80     |
| 115  | ZINC000150338699 |    Q27686   |     25.17     |
| 116  | ZINC000003920027 |    Q27686   |     25.24     |
| 117  | ZINC000936069565 |    Q27686   |     25.55     |
| 118  | ZINC000164528615 |    Q27686   |     25.55     |
| 119  | ZINC000003929508 |    Q27686   |     25.73     |
| 120  | ZINC000038141706 |    Q27686   |     25.88     |
| 121  | ZINC000038141705 |    Q27686   |     25.88     |
| 122  | ZINC000035801098 |    Q27686   |     25.88     |
