+------+------------------+-------------+---------------+
| Rank |    Drug Name     | Target Name | Binding Score |
+------+------------------+-------------+---------------+
|  1   | ZINC000252548735 |    Q4QBL1   |      0.90     |
|  2   | ZINC000252548734 |    Q4QBL1   |      0.90     |
|  3   | ZINC000169289411 |    Q4QBL1   |      0.90     |
|  4   | ZINC000095618608 |    Q4QBL1   |      0.98     |
|  5   | ZINC000261494662 |    Q4QBL1   |      1.00     |
|  6   | ZINC000261494663 |    Q4QBL1   |      1.00     |
|  7   | ZINC000085599303 |    Q4QBL1   |      1.00     |
|  8   | ZINC000095618832 |    Q4QBL1   |      1.00     |
|  9   | ZINC000001530621 |    Q4QBL1   |      1.16     |
|  10  | ZINC000169677008 |    Q4QBL1   |      1.23     |
|  11  | ZINC000254113657 |    Q4QBL1   |      1.23     |
|  12  | ZINC000169621231 |    Q4QBL1   |      1.23     |
|  13  | ZINC000169621230 |    Q4QBL1   |      1.23     |
|  14  | ZINC000169356261 |    Q4QBL1   |      1.27     |
|  15  | ZINC000085536990 |    Q4QBL1   |      1.27     |
|  16  | ZINC000095617678 |    Q4QBL1   |      1.27     |
|  17  | ZINC000253496134 |    Q4QBL1   |      1.27     |
|  18  | ZINC000096006018 |    Q4QBL1   |      1.28     |
|  19  | ZINC000253684767 |    Q4QBL1   |      1.28     |
|  20  | ZINC000169289388 |    Q4QBL1   |      1.28     |
|  21  | ZINC000257372319 |    Q4QBL1   |      1.28     |
|  22  | ZINC000261494640 |    Q4QBL1   |      1.28     |
|  23  | ZINC000100014880 |    Q4QBL1   |      1.92     |
|  24  | ZINC000005736075 |    Q4QBL1   |      1.94     |
|  25  | ZINC000040430143 |    Q4QBL1   |      2.16     |
|  26  | ZINC000000601316 |    Q4QBL1   |      2.40     |
|  27  | ZINC000003830579 |    Q4QBL1   |      2.40     |
|  28  | ZINC000003953037 |    Q4QBL1   |      2.45     |
|  29  | ZINC000003808779 |    Q4QBL1   |      2.56     |
|  30  | ZINC000000000855 |    Q4QBL1   |      2.59     |
|  31  | ZINC000000000504 |    Q4QBL1   |      2.59     |
|  32  | ZINC000001482169 |    Q4QBL1   |      4.17     |
|  33  | ZINC000003787060 |    Q4QBL1   |      4.79     |
|  34  | ZINC000000897232 |    Q4QBL1   |      5.70     |
|  35  | ZINC000000897229 |    Q4QBL1   |      5.70     |
|  36  | ZINC000003936683 |    Q4QBL1   |      5.77     |
|  37  | ZINC000100017456 |    Q4QBL1   |      5.82     |
|  38  | ZINC000003813082 |    Q4QBL1   |      6.05     |
|  39  | ZINC000000601314 |    Q4QBL1   |      6.05     |
|  40  | ZINC000004097225 |    Q4QBL1   |      6.27     |
|  41  | ZINC000100011067 |    Q4QBL1   |      6.40     |
|  42  | ZINC000003830999 |    Q4QBL1   |      6.58     |
|  43  | ZINC000068153186 |    Q4QBL1   |      6.59     |
|  44  | ZINC000000000449 |    Q4QBL1   |      6.60     |
|  45  | ZINC000003813083 |    Q4QBL1   |      6.60     |
|  46  | ZINC000000607939 |    Q4QBL1   |      6.65     |
|  47  | ZINC000100001918 |    Q4QBL1   |      6.65     |
|  48  | ZINC000299817032 |    Q4QBL1   |      7.07     |
|  49  | ZINC000000002232 |    Q4QBL1   |      7.48     |
|  50  | ZINC000100016058 |    Q4QBL1   |      7.51     |
|  51  | ZINC000100734163 |    Q4QBL1   |      7.69     |
|  52  | ZINC000003798734 |    Q4QBL1   |      7.71     |
|  53  | ZINC000012496045 |    Q4QBL1   |      7.71     |
|  54  | ZINC000118915344 |    Q4QBL1   |      8.11     |
|  55  | ZINC000004214473 |    Q4QBL1   |      8.11     |
|  56  | ZINC000256479159 |    Q4QBL1   |      8.11     |
|  57  | ZINC000256479166 |    Q4QBL1   |      8.11     |
