+------+------------------+-------------+---------------+
| Rank |    Drug Name     | Target Name | Binding Score |
+------+------------------+-------------+---------------+
|  1   | ZINC000252548735 |    Q4QHJ8   |      0.55     |
|  2   | ZINC000252548734 |    Q4QHJ8   |      0.55     |
|  3   | ZINC000169289411 |    Q4QHJ8   |      0.55     |
|  4   | ZINC000095618608 |    Q4QHJ8   |      0.60     |
|  5   | ZINC000261494662 |    Q4QHJ8   |      0.61     |
|  6   | ZINC000261494663 |    Q4QHJ8   |      0.61     |
|  7   | ZINC000085599303 |    Q4QHJ8   |      0.61     |
|  8   | ZINC000095618832 |    Q4QHJ8   |      0.61     |
|  9   | ZINC000169677008 |    Q4QHJ8   |      0.77     |
|  10  | ZINC000254113657 |    Q4QHJ8   |      0.77     |
|  11  | ZINC000169621231 |    Q4QHJ8   |      0.77     |
|  12  | ZINC000169621230 |    Q4QHJ8   |      0.77     |
|  13  | ZINC000169356261 |    Q4QHJ8   |      0.77     |
|  14  | ZINC000085536990 |    Q4QHJ8   |      0.77     |
|  15  | ZINC000095617678 |    Q4QHJ8   |      0.77     |
|  16  | ZINC000253496134 |    Q4QHJ8   |      0.77     |
|  17  | ZINC000001530621 |    Q4QHJ8   |      0.79     |
|  18  | ZINC000096006018 |    Q4QHJ8   |      0.79     |
|  19  | ZINC000253684767 |    Q4QHJ8   |      0.79     |
|  20  | ZINC000169289388 |    Q4QHJ8   |      0.79     |
|  21  | ZINC000257372319 |    Q4QHJ8   |      0.79     |
|  22  | ZINC000261494640 |    Q4QHJ8   |      0.79     |
|  23  | ZINC000005736075 |    Q4QHJ8   |      1.29     |
|  24  | ZINC000100014880 |    Q4QHJ8   |      1.38     |
|  25  | ZINC000040430143 |    Q4QHJ8   |      1.58     |
|  26  | ZINC000003953037 |    Q4QHJ8   |      1.71     |
|  27  | ZINC000003808779 |    Q4QHJ8   |      1.73     |
|  28  | ZINC000000601316 |    Q4QHJ8   |      1.76     |
|  29  | ZINC000003830579 |    Q4QHJ8   |      1.76     |
|  30  | ZINC000000000855 |    Q4QHJ8   |      1.85     |
|  31  | ZINC000000000504 |    Q4QHJ8   |      1.85     |
|  32  | ZINC000001482169 |    Q4QHJ8   |      2.79     |
|  33  | ZINC000003787060 |    Q4QHJ8   |      3.25     |
|  34  | ZINC000000897232 |    Q4QHJ8   |      3.76     |
|  35  | ZINC000000897229 |    Q4QHJ8   |      3.76     |
|  36  | ZINC000003936683 |    Q4QHJ8   |      3.85     |
|  37  | ZINC000100017456 |    Q4QHJ8   |      3.88     |
|  38  | ZINC000003813082 |    Q4QHJ8   |      4.01     |
|  39  | ZINC000000601314 |    Q4QHJ8   |      4.01     |
|  40  | ZINC000068153186 |    Q4QHJ8   |      4.27     |
|  41  | ZINC000004097225 |    Q4QHJ8   |      4.28     |
|  42  | ZINC000100011067 |    Q4QHJ8   |      4.31     |
|  43  | ZINC000000607939 |    Q4QHJ8   |      4.40     |
|  44  | ZINC000100001918 |    Q4QHJ8   |      4.40     |
|  45  | ZINC000000000449 |    Q4QHJ8   |      4.40     |
|  46  | ZINC000003813083 |    Q4QHJ8   |      4.40     |
|  47  | ZINC000299817032 |    Q4QHJ8   |      4.80     |
|  48  | ZINC000100016058 |    Q4QHJ8   |      5.03     |
|  49  | ZINC000003830999 |    Q4QHJ8   |      5.11     |
|  50  | ZINC000003798734 |    Q4QHJ8   |      5.19     |
|  51  | ZINC000012496045 |    Q4QHJ8   |      5.19     |
|  52  | ZINC000100734163 |    Q4QHJ8   |      5.20     |
|  53  | ZINC000000002232 |    Q4QHJ8   |      5.25     |
|  54  | ZINC000118915344 |    Q4QHJ8   |      5.53     |
|  55  | ZINC000004214473 |    Q4QHJ8   |      5.53     |
|  56  | ZINC000256479159 |    Q4QHJ8   |      5.53     |
|  57  | ZINC000256479166 |    Q4QHJ8   |      5.53     |
|  58  | ZINC000256479162 |    Q4QHJ8   |      5.53     |
|  59  | ZINC000027552910 |    Q4QHJ8   |      5.53     |
|  60  | ZINC000000006157 |    Q4QHJ8   |      5.65     |
|  61  | ZINC000001999487 |    Q4QHJ8   |      5.65     |
