+------+------------------+-------------+---------------+
| Rank |    Drug Name     | Target Name | Binding Score |
+------+------------------+-------------+---------------+
|  1   | ZINC000252548735 |    Q6TUJ5   |      2.77     |
|  2   | ZINC000252548734 |    Q6TUJ5   |      2.77     |
|  3   | ZINC000169289411 |    Q6TUJ5   |      2.77     |
|  4   | ZINC000095618608 |    Q6TUJ5   |      2.97     |
|  5   | ZINC000261494662 |    Q6TUJ5   |      3.05     |
|  6   | ZINC000261494663 |    Q6TUJ5   |      3.05     |
|  7   | ZINC000085599303 |    Q6TUJ5   |      3.05     |
|  8   | ZINC000095618832 |    Q6TUJ5   |      3.05     |
|  9   | ZINC000169677008 |    Q6TUJ5   |      3.65     |
|  10  | ZINC000254113657 |    Q6TUJ5   |      3.65     |
|  11  | ZINC000169621231 |    Q6TUJ5   |      3.65     |
|  12  | ZINC000169621230 |    Q6TUJ5   |      3.65     |
|  13  | ZINC000169356261 |    Q6TUJ5   |      3.80     |
|  14  | ZINC000085536990 |    Q6TUJ5   |      3.80     |
|  15  | ZINC000095617678 |    Q6TUJ5   |      3.80     |
|  16  | ZINC000253496134 |    Q6TUJ5   |      3.80     |
|  17  | ZINC000096006018 |    Q6TUJ5   |      3.89     |
|  18  | ZINC000253684767 |    Q6TUJ5   |      3.89     |
|  19  | ZINC000169289388 |    Q6TUJ5   |      3.89     |
|  20  | ZINC000257372319 |    Q6TUJ5   |      3.89     |
|  21  | ZINC000261494640 |    Q6TUJ5   |      3.89     |
|  22  | ZINC000001530621 |    Q6TUJ5   |      5.88     |
|  23  | ZINC000005736075 |    Q6TUJ5   |     10.06     |
|  24  | ZINC000100014880 |    Q6TUJ5   |     11.00     |
|  25  | ZINC000040430143 |    Q6TUJ5   |     12.34     |
|  26  | ZINC000000601316 |    Q6TUJ5   |     13.22     |
|  27  | ZINC000003830579 |    Q6TUJ5   |     13.22     |
|  28  | ZINC000003808779 |    Q6TUJ5   |     15.19     |
|  29  | ZINC000000000855 |    Q6TUJ5   |     16.84     |
|  30  | ZINC000000000504 |    Q6TUJ5   |     16.84     |
|  31  | ZINC000003953037 |    Q6TUJ5   |     19.05     |
|  32  | ZINC000001482169 |    Q6TUJ5   |     23.83     |
|  33  | ZINC000003787060 |    Q6TUJ5   |     27.57     |
|  34  | ZINC000003813082 |    Q6TUJ5   |     31.83     |
|  35  | ZINC000000601314 |    Q6TUJ5   |     31.83     |
|  36  | ZINC000004097225 |    Q6TUJ5   |     33.57     |
|  37  | ZINC000000000449 |    Q6TUJ5   |     34.09     |
|  38  | ZINC000003813083 |    Q6TUJ5   |     34.09     |
|  39  | ZINC000100011067 |    Q6TUJ5   |     34.22     |
|  40  | ZINC000000607939 |    Q6TUJ5   |     34.75     |
|  41  | ZINC000100001918 |    Q6TUJ5   |     34.75     |
|  42  | ZINC000100017456 |    Q6TUJ5   |     35.53     |
|  43  | ZINC000299817032 |    Q6TUJ5   |     37.76     |
|  44  | ZINC000100016058 |    Q6TUJ5   |     39.24     |
|  45  | ZINC000100734163 |    Q6TUJ5   |     39.76     |
|  46  | ZINC000000897232 |    Q6TUJ5   |     40.63     |
|  47  | ZINC000000897229 |    Q6TUJ5   |     40.63     |
|  48  | ZINC000003936683 |    Q6TUJ5   |     40.79     |
|  49  | ZINC000003798734 |    Q6TUJ5   |     41.62     |
|  50  | ZINC000012496045 |    Q6TUJ5   |     41.62     |
|  51  | ZINC000118915344 |    Q6TUJ5   |     41.67     |
|  52  | ZINC000004214473 |    Q6TUJ5   |     41.67     |
|  53  | ZINC000256479159 |    Q6TUJ5   |     41.67     |
|  54  | ZINC000256479166 |    Q6TUJ5   |     41.67     |
|  55  | ZINC000256479162 |    Q6TUJ5   |     41.67     |
|  56  | ZINC000027552910 |    Q6TUJ5   |     41.67     |
|  57  | ZINC000068153186 |    Q6TUJ5   |     42.65     |
|  58  | ZINC000004214603 |    Q6TUJ5   |     42.70     |
|  59  | ZINC000003922770 |    Q6TUJ5   |     42.73     |
|  60  | ZINC000256072841 |    Q6TUJ5   |     44.34     |
|  61  | ZINC000256072846 |    Q6TUJ5   |     44.34     |
|  62  | ZINC000256072844 |    Q6TUJ5   |     44.34     |
|  63  | ZINC000034176696 |    Q6TUJ5   |     44.34     |
|  64  | ZINC000003920028 |    Q6TUJ5   |     44.34     |
|  65  | ZINC000072481720 |    Q6TUJ5   |     44.34     |
|  66  | ZINC000000002232 |    Q6TUJ5   |     45.44     |
|  67  | ZINC000003830999 |    Q6TUJ5   |     49.47     |
|  68  | ZINC000013648755 |    Q6TUJ5   |     50.51     |
|  69  | ZINC000100037885 |    Q6TUJ5   |     50.51     |
|  70  | ZINC000100037890 |    Q6TUJ5   |     50.51     |
|  71  | ZINC000100054890 |    Q6TUJ5   |     50.56     |
|  72  | ZINC000100054893 |    Q6TUJ5   |     50.56     |
|  73  | ZINC000095618855 |    Q6TUJ5   |     50.56     |
|  74  | ZINC000000006157 |    Q6TUJ5   |     54.33     |
|  75  | ZINC000001999487 |    Q6TUJ5   |     54.33     |
|  76  | ZINC000000002176 |    Q6TUJ5   |     55.75     |
|  77  | ZINC000000403609 |    Q6TUJ5   |     55.75     |
|  78  | ZINC000014210457 |    Q6TUJ5   |     56.63     |
|  79  | ZINC000014210455 |    Q6TUJ5   |     56.63     |
|  80  | ZINC000004074875 |    Q6TUJ5   |     58.59     |
|  81  | ZINC000004097427 |    Q6TUJ5   |     58.59     |
|  82  | ZINC000936069425 |    Q6TUJ5   |     58.66     |
|  83  | ZINC000003830916 |    Q6TUJ5   |     59.31     |
|  84  | ZINC000077301904 |    Q6TUJ5   |     62.50     |
|  85  | ZINC000003830842 |    Q6TUJ5   |     64.94     |
|  86  | ZINC000000896543 |    Q6TUJ5   |     64.94     |
|  87  | ZINC000004245650 |    Q6TUJ5   |     65.86     |
|  88  | ZINC000008552018 |    Q6TUJ5   |     67.45     |
|  89  | ZINC000003959242 |    Q6TUJ5   |     68.92     |
|  90  | ZINC000000597260 |    Q6TUJ5   |     69.06     |
|  91  | ZINC000022064534 |    Q6TUJ5   |     69.06     |
|  92  | ZINC000008552017 |    Q6TUJ5   |     69.75     |
|  93  | ZINC000000119434 |    Q6TUJ5   |     70.54     |
|  94  | ZINC000100057533 |    Q6TUJ5   |     70.54     |
|  95  | ZINC000100018854 |    Q6TUJ5   |     71.90     |
|  96  | ZINC000100018852 |    Q6TUJ5   |     71.90     |
|  97  | ZINC000000896557 |    Q6TUJ5   |     71.90     |
|  98  | ZINC000000896560 |    Q6TUJ5   |     71.90     |
|  99  | ZINC000000000347 |    Q6TUJ5   |     71.90     |
| 100  | ZINC000006092086 |    Q6TUJ5   |     72.14     |
| 101  | ZINC000006092087 |    Q6TUJ5   |     72.14     |
| 102  | ZINC000028536264 |    Q6TUJ5   |     73.73     |
| 103  | ZINC000072316335 |    Q6TUJ5   |     75.34     |
| 104  | ZINC000005752185 |    Q6TUJ5   |     78.39     |
| 105  | ZINC000150338699 |    Q6TUJ5   |     80.52     |
| 106  | ZINC000003830994 |    Q6TUJ5   |     80.89     |
| 107  | ZINC000003830993 |    Q6TUJ5   |     80.89     |
| 108  | ZINC000003920027 |    Q6TUJ5   |     83.43     |
| 109  | ZINC000038141706 |    Q6TUJ5   |     83.73     |
| 110  | ZINC000038141705 |    Q6TUJ5   |     83.73     |
| 111  | ZINC000936069565 |    Q6TUJ5   |     83.89     |
| 112  | ZINC000164528615 |    Q6TUJ5   |     83.89     |
| 113  | ZINC000003929508 |    Q6TUJ5   |     84.25     |
