zinc_id,pid,Kd,DeepPurpose_score
ZINC000005850277,Q6TUJ5,1.8118325471878047,208715.55
ZINC000037253587,Q6TUJ5,1.8409668207168581,168889.99
ZINC000038174297,Q6TUJ5,1.965312957763672,4792.58
ZINC000038174299,Q6TUJ5,1.965312957763672,4792.58
ZINC000003593790,Q6TUJ5,1.965312957763672,4792.58
ZINC000019364225,Q6TUJ5,1.9722011089324951,448884.3
ZINC000000895212,P48499,2.1235208511352544,30924.66
ZINC000006050663,P48499,2.1245863437652592,30320.95
ZINC000005134113,Q6TUJ5,2.1351976394653316,3721.01
ZINC000005134119,Q6TUJ5,2.1351976394653316,3721.01
ZINC000001693386,Q6TUJ5,2.158407926559448,362300.69
ZINC000008034121,Q6TUJ5,2.186157703399658,448614.05
ZINC000000388081,Q6TUJ5,2.209013700485229,10733.03
ZINC000019230121,Q6TUJ5,2.211714506149292,131054.85
ZINC000000901351,P48499,2.2324111461639404,28598.02
ZINC000004658553,P48499,2.233999729156494,36518.01
ZINC000006050663,Q27686,2.2651896476745605,8022.1
ZINC000004658552,P48499,2.27020001411438,29929.5
ZINC000000155694,Q6TUJ5,2.277735710144043,8387.17
ZINC000100008275,Q6TUJ5,2.277735710144043,8387.17
ZINC000000002233,Q6TUJ5,2.277750968933105,63417.05
ZINC000000895030,P48499,2.283442497253418,36876.77
ZINC000017971067,P48499,2.2841546535491943,29429.63
ZINC000000895271,P48499,2.2841546535491943,29429.63
ZINC000000895212,Q27686,2.301633358001709,8967.67
ZINC000006827693,Q27686,2.305142879486084,44013.91
ZINC000000001028,Q6TUJ5,2.3416290283203125,145110.17
ZINC000000895342,P48499,2.3440959453582764,4581.23
ZINC000000895034,P48499,2.3440959453582764,4581.23
ZINC000000895969,Q6TUJ5,2.3504011631011963,103100.01
ZINC000006827693,P48499,2.351216554641724,67903.55
ZINC000242522150,Q27686,2.3554952144622803,57422.72
ZINC000000895032,P48499,2.359618186950684,18454.62
ZINC000000968256,Q6TUJ5,2.36905837059021,40051.93
ZINC000001482113,P48499,2.371837615966797,24748.42
ZINC000037253587,O15826,2.374572515487671,8814.32
ZINC000018168715,P48499,2.3783867359161377,14232.95
ZINC000084397769,P48499,2.384735107421875,24802.15
ZINC000014658068,Q6TUJ5,2.387497901916504,322515.36
ZINC000001530660,Q6TUJ5,2.388334989547729,2757.83
ZINC000001530659,Q6TUJ5,2.388334989547729,2757.83
ZINC000000001944,Q6TUJ5,2.3913490772247314,1101298.19
ZINC000000895042,P48499,2.395498514175415,12595.71
ZINC000000000816,O97193,2.398620367050171,60.04
ZINC000001571392,O97193,2.398620367050171,60.04
ZINC000001769275,P48499,2.402470588684082,91448.76
ZINC000018284778,Q6TUJ5,2.4098589420318604,270303.32
ZINC000001529215,P48499,2.415094375610352,472064.88
ZINC000001529214,P48499,2.415094375610352,472064.88
ZINC000084397769,Q6TUJ5,2.441271543502808,14851.23
ZINC000002020259,P48499,2.4427483081817627,21906.85
ZINC000000895081,P48499,2.4434754848480225,15869.89
ZINC000000896409,Q6TUJ5,2.449028968811035,231187.61
ZINC000008220699,Q27686,2.4565117359161377,67483.69
