drug,prot,score
id-949,O15826,0.28
id-949,O97193,0.35
id-2552,O15826,0.4
id-1585,O15826,0.45
id-2851,O15826,0.52
id-2552,O97193,0.53
id-1585,O97193,0.54
id-2552,Q4QHJ8,0.55
id-2168,O15826,0.55
id-1118,O15826,0.58
id-2446,O15826,0.59
id-396,O15826,0.61
id-2851,O97193,0.66
id-846,O15826,0.67
id-2646,O15826,0.67
id-3880,O15826,0.69
id-4907,O15826,0.69
id-1796,O15826,0.73
id-2168,O97193,0.75
id-4161,O15826,0.76
id-1118,O97193,0.76
id-396,O97193,0.76
id-2168,Q4QHJ8,0.77
id-1118,Q4QHJ8,0.77
id-2053,O15826,0.79
id-2446,Q4QHJ8,0.79
id-949,Q4QHJ8,0.79
id-2446,O97193,0.79
id-2654,O15826,0.81
id-2646,O97193,0.81
id-846,O97193,0.81
id-676,O15826,0.84
id-2078,O15826,0.85
id-2552,Q4QBL1,0.9
id-1796,O97193,0.91
id-3445,O15826,0.92
id-4907,O97193,0.93
id-2552,Q27686,0.94
id-3880,O97193,0.94
id-3604,O15826,0.95
id-2438,O15826,0.96
id-2078,O97193,0.98
id-2654,O97193,1.0
id-2457,O15826,1.02
id-3445,O97193,1.03
id-4161,Q4QHJ8,1.04
id-2574,O15826,1.04
id-4161,O97193,1.06
id-2053,O97193,1.06
id-1759,O15826,1.06
id-3604,O97193,1.07
id-4061,O15826,1.08
id-3746,O15826,1.11
id-676,O97193,1.12
id-1709,O15826,1.12
id-949,Q4QBL1,1.16
id-5218,O15826,1.18
id-949,Q27686,1.21
id-2438,O97193,1.21
id-1118,Q4QBL1,1.23
id-1118,Q27686,1.26
id-2168,Q4QBL1,1.27
id-2446,Q4QBL1,1.28
id-4061,O97193,1.28
id-2457,O97193,1.28
id-290,O15826,1.31
id-2446,Q27686,1.31
id-1426,O15826,1.31
id-1759,O97193,1.31
id-78,O15826,1.33
id-2168,Q27686,1.33
id-1027,O15826,1.34
id-4801,O15826,1.34
id-1057,O15826,1.34
id-3880,Q4QHJ8,1.38
id-1987,O15826,1.41
id-1383,O15826,1.43
id-2574,O97193,1.43
id-4778,O15826,1.43
id-2977,O15826,1.47
id-5218,O97193,1.49
id-2572,O15826,1.5
id-2185,O15826,1.5
id-2667,O15826,1.52
id-3657,O15826,1.52
id-2574,Q4QHJ8,1.53
id-3609,O15826,1.53
id-1689,O15826,1.53
id-2053,Q4QHJ8,1.53
id-1709,O97193,1.54
id-2470,O15826,1.54
id-5201,O15826,1.55
id-5359,O15826,1.56
id-1645,O15826,1.57
id-4907,Q4QHJ8,1.58
id-1511,O15826,1.6
id-3657,O97193,1.65
id-4801,O97193,1.65
id-290,O97193,1.66
id-5286,O15826,1.66
id-1027,O97193,1.66
id-2949,O15826,1.66
id-4161,Q4QBL1,1.67
id-1426,O97193,1.7
id-396,Q4QHJ8,1.71
id-4941,O15826,1.71
id-1314,O15826,1.73
id-2562,O15826,1.73
id-1709,Q4QHJ8,1.73
id-4161,Q27686,1.75
id-3611,O15826,1.75
id-430,O15826,1.75
id-1595,O15826,1.76
id-676,Q4QHJ8,1.76
