drug,prot,score
ZINC000001530621,O15826,0.28
ZINC000169734975,O15826,0.3
ZINC000001530621,O97193,0.35
ZINC000095092801,O15826,0.37
ZINC000169734975,O97193,0.39
ZINC000169289411,O15826,0.4
ZINC000252548734,O15826,0.4
ZINC000252548735,O15826,0.4
ZINC000169734975,Q4QHJ8,0.41
ZINC000003936035,O15826,0.42
ZINC000095618608,O15826,0.43
ZINC000261494663,O15826,0.44
ZINC000085599303,O15826,0.44
ZINC000095618832,O15826,0.44
ZINC000261494662,O15826,0.44
ZINC000003830999,O15826,0.45
ZINC000003831000,O15826,0.45
ZINC000095092801,O97193,0.5
ZINC000082138051,O15826,0.51
ZINC000095092801,Q4QHJ8,0.51
ZINC000252548734,O97193,0.53
ZINC000252548735,O97193,0.53
ZINC000169289411,O97193,0.53
ZINC000003830999,O97193,0.54
ZINC000003831000,O97193,0.54
ZINC000252548735,Q4QHJ8,0.55
ZINC000095617678,O15826,0.55
ZINC000252548734,Q4QHJ8,0.55
ZINC000169289411,Q4QHJ8,0.55
ZINC000253496134,O15826,0.55
ZINC000135669648,O15826,0.55
ZINC000169356261,O15826,0.55
ZINC000299841533,O15826,0.55
ZINC000299841532,O15826,0.55
ZINC000299841531,O15826,0.55
ZINC000085536990,O15826,0.55
ZINC000003936035,O97193,0.56
ZINC000095618608,O97193,0.57
ZINC000299888510,O15826,0.57
ZINC000253687865,O15826,0.57
ZINC000299888511,O15826,0.57
ZINC000299888509,O15826,0.57
ZINC000169677008,O15826,0.58
ZINC000254113657,O15826,0.58
ZINC000169621231,O15826,0.58
ZINC000169621230,O15826,0.58
ZINC000261494662,O97193,0.59
ZINC000261494663,O97193,0.59
ZINC000085599303,O97193,0.59
ZINC000095618832,O97193,0.59
ZINC000169289388,O15826,0.59
ZINC000257372319,O15826,0.59
ZINC000261494640,O15826,0.59
ZINC000253684767,O15826,0.59
ZINC000096006018,O15826,0.59
ZINC000206179175,O15826,0.6
ZINC000095618608,Q4QHJ8,0.6
ZINC000261494663,Q4QHJ8,0.61
ZINC000003953037,O15826,0.61
ZINC000095618832,Q4QHJ8,0.61
ZINC000261494662,Q4QHJ8,0.61
ZINC000085599303,Q4QHJ8,0.61
ZINC000206179363,O15826,0.65
ZINC000003830994,O15826,0.67
ZINC000003830993,O15826,0.67
ZINC000261512594,O15826,0.68
ZINC000169734975,Q4QBL1,0.68
ZINC000100100396,O15826,0.68
ZINC000100014880,O15826,0.69
ZINC000040430143,O15826,0.69
ZINC000169734975,Q27686,0.71
ZINC000025723899,O15826,0.71
ZINC000000000855,O15826,0.73
ZINC000000000504,O15826,0.73
ZINC000299841533,O97193,0.74
ZINC000135669648,O97193,0.74
ZINC000299841531,O97193,0.74
ZINC000299841532,O97193,0.74
ZINC000253496134,O97193,0.75
ZINC000095617678,O97193,0.75
ZINC000085536990,O97193,0.75
ZINC000169356261,O97193,0.75
ZINC000003953037,O97193,0.76
ZINC000299888509,O97193,0.76
ZINC000169677008,O97193,0.76
ZINC000254113657,O97193,0.76
ZINC000169621231,O97193,0.76
ZINC000299888511,O97193,0.76
ZINC000299888510,O97193,0.76
ZINC000253687865,O97193,0.76
ZINC000169621230,O97193,0.76
ZINC000169621230,Q4QHJ8,0.77
ZINC000169677008,Q4QHJ8,0.77
ZINC000000599871,O15826,0.77
ZINC000169356261,Q4QHJ8,0.77
ZINC000095092801,Q4QBL1,0.77
ZINC000085536990,Q4QHJ8,0.77
ZINC000095617678,Q4QHJ8,0.77
ZINC000169621231,Q4QHJ8,0.77
ZINC000253496134,Q4QHJ8,0.77
ZINC000254113657,Q4QHJ8,0.77
ZINC000001530621,Q4QHJ8,0.79
ZINC000253684767,O97193,0.79
ZINC000169289388,O97193,0.79
ZINC000261494640,O97193,0.79
ZINC000003808350,O15826,0.79
ZINC000261494640,Q4QHJ8,0.79
ZINC000257372319,Q4QHJ8,0.79
ZINC000253684767,Q4QHJ8,0.79
ZINC000096006018,Q4QHJ8,0.79
ZINC000096006018,O97193,0.79
ZINC000257372319,O97193,0.79
ZINC000169289388,Q4QHJ8,0.79
ZINC000082138051,O97193,0.8
ZINC000103591745,O15826,0.8
ZINC000003830994,O97193,0.81
ZINC000003830993,O97193,0.81
ZINC000206179175,O97193,0.81
ZINC000206179175,Q4QHJ8,0.82
ZINC000003861637,O15826,0.83
ZINC000000601316,O15826,0.84
ZINC000003830579,O15826,0.84
ZINC000206179363,Q4QHJ8,0.84
ZINC000100100396,O97193,0.85
ZINC000299841511,O15826,0.85
ZINC000000001898,O15826,0.85
ZINC000003936035,Q4QHJ8,0.85
ZINC000261512594,O97193,0.85
ZINC000068268153,O15826,0.86
ZINC000095092801,Q27686,0.86
ZINC000206179363,O97193,0.86
ZINC000025723899,O97193,0.86
ZINC000299888511,Q4QHJ8,0.88
ZINC000299888509,Q4QHJ8,0.88
ZINC000299888510,Q4QHJ8,0.88
ZINC000253687865,Q4QHJ8,0.88
ZINC000252548734,Q4QBL1,0.9
ZINC000169289411,Q4QBL1,0.9
ZINC000252548735,Q4QBL1,0.9
ZINC000000000855,O97193,0.91
ZINC000005736075,O15826,0.91
ZINC000098052868,O15826,0.91
ZINC000150363615,O15826,0.91
ZINC000159897988,O15826,0.91
ZINC000000000504,O97193,0.91
ZINC000159898174,O15826,0.91
ZINC000000002232,O15826,0.92
ZINC000043103796,O15826,0.92
